cell_index,name,cost,upkeep,prereq,icon
47,Physician,15,5,ADVANCE_HIPPOCRATIC_SCHOOL,ICON_IMPROVE_PHYSICIAN
48,Gaia Power Satellite,35,0,ADVANCE_GAIA_CONTROLLER,ICON_IMPROVE_POWER_SATELLITE
49,Public Transportation,24,6,ADVANCE_MASS_TRANSIT,ICON_IMPROVE_PUBLIC_TRANSPORTATION
50,Publishing House,13,3,ADVANCE_PRINTING_PRESS,ICON_IMPROVE_PUBLISHING_HOUSE
51,Recycling Plant,30,8,ADVANCE_CONSERVATION,ICON_IMPROVE_RECYCLING_PLANT
52,Robotic Plant,55,15,ADVANCE_ROBOTICS,ICON_IMPROVE_ROBOTIC_PLANT
53,Security Monitor,40,12,ADVANCE_AI_SURVEILLANCE,ICON_IMPROVE_SECURITY_MONITOR
54,Shrine,2,1,ADVANCE_RELIGION,ICON_IMPROVE_SHRINE
55,Silo,14,4,ADVANCE_BUREAUCRACY,ICON_IMPROVE_SILO
56,Television,25,5,ADVANCE_MASS_MEDIA,ICON_IMPROVE_TELEVISION
57,Theater,4,1,ADVANCE_DRAMA,ICON_IMPROVE_THEATER
58,University,13,3,ADVANCE_CLASSICAL_EDUCATION,ICON_IMPROVE_UNIVERSITY
59,Wall,5,2,ADVANCE_BRICK_MAKING,ICON_IMPROVE_WALL
60,Work Camp,10,5,ADVANCE_ARCHITECTURE,ICON_IMPROVE_WORK_CAMP
61,VR Amusement Park,35,10,ADVANCE_NEURAL_INTERFACE,ICON_IMPROVE_VR_AMUSEMENT_PARK
62,Stockade,4,1,ADVANCE_WOOD_WORKING,ICON_IMPROVE_STOCKADE
63,Ziggurat,4,1,ADVANCE_ASTRONOMY,ICON_IMPROVE_ZIGGURAT
64,E-Bank,40,12,ADVANCE_DIGITAL_ENCRYPTION,ICON_IMPROVE_E_BANK
65,Matter Decompiler,45,15,ADVANCE_ECOTOPIA,ICON_IMPROVE_MATTER_DECOMPILER
66,Micro Defense,85,18,ADVANCE_NANO_WARFARE,ICON_IMPROVE_MICRO_DEFENSE
67,Nanite Factory,80,18,ADVANCE_NANO_ASSEMBLY,ICON_IMPROVE_NANITE_FACTORY
68,Aqua-Filter,80,18,ADVANCE_NANO_MACHINES,ICON_IMPROVE_AQUA_FILTER
69,Cornucopic Vats,35,15,ADVANCE_GENETIC_TAILORING,ICON_IMPROVE_CORNUCOPIC_VAT
