unit_id,name,cost,sphere,tier,gate_code,gate_advance,source
UNIT_TITAN,Titan,10,gated,,homm2:NF,,homm2
UNIT_SETTLERS,Settlers,4,starter,,nil,,midgard
UNIT_SORCERER,Sorcerer,4,chaos,lore,MP,,midgard
UNIT_H_WARRIORS,H. Warriors,1,chaos,lore,MP,,midgard
UNIT_MERMEN,Mermen,1,sorcery,lore,The,,midgard
UNIT_HAWKMEN,Hawkmen,1,nature,lore,Plu,,midgard
UNIT_ELF_WARRIORS,Elf Warriors,2,nature,lore,Plu,,midgard
UNIT_INFIDELS,Infidels,1,chaos,lore,MP,,midgard
UNIT_GOBLINS,Goblins,1,chaos,lore,MP,,midgard
UNIT_DWARVES,Dwarves,2,nature,lore,Plu,,midgard
UNIT_ELF_ARCHERS,Elf Archers,3,nature,lore,Plu,,midgard
UNIT_TROLLS,Trolls,2,chaos,lore,MP,,midgard
UNIT_HOUSECARLS,Housecarls,3,gated_neutral,lore,War,,midgard
UNIT_MERGUARDS,Merguards,3,sorcery,lore,The,,midgard
UNIT_EAGLEMEN,Eaglemen,2,nature,lore,Plu,,midgard
UNIT_BERSERKERS,Berserkers,3,chaos,lore,MP,,midgard
UNIT_I_HORSEMEN,I. Horsemen,4,gated,,midgard:Chi,,midgard
UNIT_ELF_RIDERS,Elf Riders,4,nature,lore,Plu,,midgard
UNIT_NIGHT_RIDERS,Night Riders,4,gated,,midgard:Chi,,midgard
UNIT_RANGERS,Rangers,4,nature,lore,Plu,,midgard
UNIT_GOLDEN_HORDE,Golden Horde,5,gated,,midgard:Tac,,midgard
UNIT_GIANT_OTTERINE,Giant Otterine,4,nature,lore,Plu,,midgard
UNIT_CRAG_WOLVES,Crag Wolves,3,gated,,midgard:Feu,,midgard
UNIT_ICE_DRAKE,Ice Drake,13,gated,,midgard:Cmn,,midgard
UNIT_TREEFOLK,Treefolk,8,nature,adept,PT,,midgard
UNIT_SIEGE_ENGINE,Siege Engine,5,gated,,midgard:Eng,,midgard
UNIT_BOMBARD,Bombard,6,gated,,midgard:Exp,,midgard
UNIT_GREAT_BATS,Great Bats,5,gated,,midgard:Ato,,midgard
UNIT_WITCHES,Witches,6,death,adept,Rob,,midgard
UNIT_GREAT_WIZARD,Great Wizard,10,sorcery,mage,NP,,midgard
UNIT_ELLIDA,Ellida,10,gated,,midgard:Fli,,midgard
UNIT_SKIDBLADNIR,Skidbladnir,9,gated,,midgard:Fli,,midgard
UNIT_LONGBOAT,Longboat,4,gated,,midgard:Map,,midgard
UNIT_DRAGON_BOAT,Dragon Boat,4,chaos,master,Mob,,midgard
UNIT_OLD_MAN,Old Man,8,gated,,midgard:E2,,midgard
UNIT_SHIELD_BOAT,Shield Boat,6,gated,,midgard:SE,,midgard
UNIT_UNSPEAKABLE_HORROR,Unspeakable Horror,6,chaos,adept,Med,,midgard
UNIT_ENCH_PALADINS,Ench. Paladins,5,life,adept,Lab,,midgard
UNIT_CHANGELING,Changeling,5,life,adept,Lab,,midgard
UNIT_ENCH_GIANT,Ench. Giant,5,gated,,midgard:Tac,,midgard
UNIT_ENCH_OGRE,Ench. Ogre,5,chaos,adept,Med,,midgard
UNIT_GREAT_EAGLES,Great Eagles,3,nature,lore,Plu,,midgard
UNIT_FELL_WRAITH,Fell Wraith,5,death,adept,Rob,,midgard
UNIT_TREE_GUARDS,Tree Guards,5,nature,adept,PT,,midgard
UNIT_FIREBALL,Fireball,16,chaos,wizard,Min,,midgard
UNIT_ENVOY,Envoy,3,starter,,midgard:Wri,,midgard
UNIT_SPY,Spy,3,gated,,midgard:Esp,,midgard
UNIT_TRITON_LEGION,Triton Legion,5,sorcery,adept,X2,,midgard
UNIT_JACK_OLANTERN,Jack O'Lantern,3,gated,,midgard:Sea,,midgard
UNIT_SKELETONS,Skeletons,2,death,lore,Rfg,,midgard
UNIT_BARROW_WIGHTS,Barrow Wights,2,death,lore,Rfg,,midgard
UNIT_PORPOISE_POD,Porpoise Pod,1,sorcery,lore,The,,midgard
UNIT_BABA_YAGA,Baba Yaga,10,death,mage,SFl,,midgard
UNIT_FROST_GIANT,Frost Giant,9,gated,,midgard:Mob,,midgard
UNIT_GIANT_SPIDER,Giant Spider,8,nature,adept,PT,,midgard
UNIT_KRAKEN,Kraken,12,chaos,mage,Met,,midgard
UNIT_DRAGON,Dragon,16,chaos,master,Mob,,midgard
UNIT_JORMUNGANDS_SPIT,Jormungand's Spit,18,gated,,midgard:U1,,midgard
UNIT_NECROMANCER,Necromancer,7,death,adept,Rob,,midgard
UNIT_ENGINEERS,Engineers,4,gated_neutral,lore,War,,crusades
UNIT_LIGHT_INFANTRY,Light Infantry,2,gated,,crusades:Bro,,crusades
UNIT_ARCHERS,Archers,3,gated_neutral,lore,War,,crusades
UNIT_LEGION,Legion,4,gated_neutral,lore,War,,crusades
UNIT_HEAVY_INFANTRY,Heavy Infantry,3,gated,,crusades:Feu,,crusades
UNIT_FANATICS,Fanatics,2,chaos,lore,MP,,crusades
UNIT_PARTISANS,Partisans,5,gated_neutral,adept,Bro,,crusades
UNIT_MAMLUKS,Mamluks,4,gated,,crusades:Ast,,crusades
UNIT_HEAVY_CAVALRY,Heavy Cavalry,4,gated,,crusades:Whe,,crusades
UNIT_VARANG_GUARD,Varang. Guard,5,gated,,crusades:Che,,crusades
UNIT_CRUSADERS,Crusaders,5,life,adept,Lab,,crusades
UNIT_ASCARIS,Ascaris,4,gated,,crusades:Fun,,crusades
UNIT_TURCOPOLES,Turcopoles,3,gated,,crusades:Bro,,crusades
UNIT_TRIREME,Trireme,4,gated,,crusades:Map,,crusades
UNIT_CARAVEL,Caravel,4,gated,,crusades:Nav,,crusades
UNIT_GALLEON,Galleon,4,sorcery,lore,The,,crusades
UNIT_FRIGATE,Frigate,5,sorcery,adept,X2,,crusades
UNIT_IRONCLAD,Ironclad,6,sorcery,adept,X2,,crusades
UNIT_TRANSPORT,Transport,5,sorcery,adept,X2,,crusades
UNIT_EXPLORER,Explorer,3,gated_neutral,lore,War,,crusades
UNIT_ASSASSIN,Assassin,5,gated,,crusades:Mys,,crusades
UNIT_KNIGHTS_TEMPLAR,Knights Templar,5,life,adept,Lab,,crusades
UNIT_KNIGHTS_HOSP,Knights Hosp.,5,gated,,crusades:U2,,crusades
UNIT_HURRICANE,Hurricane,11,gated,,cradle:ADVANCE_SUBNEURAL_ADS,,cradle
UNIT_ABOLITIONIST,Abolitionist,5,gated,,cradle:ADVANCE_CLASSICAL_EDUCATION,,cradle
UNIT_AMBASSADOR,Ambassador,6,gated,,cradle:ADVANCE_AGE_OF_REASON,,cradle
UNIT_ARQUEBUSIER,Arquebusier,8,gated,,cradle:ADVANCE_GUNPOWDER,,cradle
UNIT_ELITE_ARQUEBUSIER,Elite Arquebusier,8,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_BALLISTA,Ballista,6,gated,,cradle:ADVANCE_BALLISTICS,,cradle
UNIT_BERZERKER,Berzerker,2,gated,,cradle:ADVANCE_AGRICULTURE,,cradle
UNIT_BIREME,Bireme,3,gated,,cradle:ADVANCE_OUTRIGGER,,cradle
UNIT_BRIGADIER,Brigadier,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_CAMEL,Camel,10,gated,,cradle:ADVANCE_SUBNEURAL_ADS,,cradle
UNIT_CATAPHRACT,Cataphract,8,gated,,cradle:ADVANCE_STIRRUP,,cradle
UNIT_CHARIOT,Chariot,3,gated,,cradle:ADVANCE_CHARIOTS,,cradle
UNIT_CLERIC,Cleric,14,life,mage,Las,,cradle
UNIT_CLUB_WARRIOR,Club Warrior,1,starter,,cradle:ADVANCE_AGRICULTURE,,cradle
UNIT_ELITE_CLUB_WARRIOR,Elite Club Warrior,1,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_COG,Cog,6,gated,,cradle:ADVANCE_COMPASS,,cradle
UNIT_COLONEL,Colonel,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_COMPOSITE_ARCHER,Composite Archer,6,gated,,cradle:ADVANCE_COMPOSITE_BOW,,cradle
UNIT_CRAWLER,Crawler,45,gated,,cradle:ADVANCE_ULTRAPRESSURE_MACHINERY,,cradle
UNIT_CROSSBOWMAN,Crossbowman,7,gated,,cradle:ADVANCE_CROSSBOW,,cradle
UNIT_DINOSAUR,Dinosaur,2,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_DIPLOMAT,Diplomat,3,gated,,cradle:ADVANCE_DYNASTY,,cradle
UNIT_DROMON,Dromon,7,gated,,cradle:ADVANCE_GREEK_FIRE,,cradle
UNIT_EARLY_GALLEY,Early Galley,2,sorcery,lore,The,,cradle
UNIT_WAR_ELEPHANT,War Elephant,5,gated,,cradle:ADVANCE_OLIGARCHY,,cradle
UNIT_EMISSARY,Emissary,1,starter,,cradle:ADVANCE_EXPLORATION,,cradle
UNIT_EMPATHIC_DIPLOMAT,Empathic Diplomat,17,gated,,cradle:ADVANCE_EUGENICS,,cradle
UNIT_GREAT_GENERAL,Great General,15,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_GREAT_KING,Great King,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HALBERDIER,Halberdier,6,gated,,cradle:ADVANCE_GUNPOWDER,,cradle
UNIT_ELITE_HALBERDIER,Elite Halberdier,6,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HERO,Hero,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HIRED_THUG,Hired Thug,18,gated,,cradle:ADVANCE_CITY_STATE,,cradle
UNIT_HOPLITE,Hoplite,2,gated,,cradle:ADVANCE_BRONZE_WORKING,,cradle
UNIT_ELITE_HOPLITE,Elite Hoplite,2,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HOPLITE_MILITIA,Hoplite Militia,2,starter,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HORSEMAN,Horseman,6,gated,,cradle:ADVANCE_HORSE_ARMOR,,cradle
UNIT_ELITE_HOVER_INFANTRY,Elite Hover Infantry,28,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HOVER_INFANTRY_MILITIA,Hover Infantry Militia,28,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HYPASPISTS,Hypaspists,4,gated,,cradle:ADVANCE_BARRACKS,,cradle
UNIT_ELITE_HYPASPIST,Elite Hypaspist,4,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_INFANTRYMAN,Infantryman,11,gated,,cradle:ADVANCE_FLINTLOCK,,cradle
UNIT_ELITE_INFANTRY,Elite Infantry,11,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_INFANTRYMAN_MILITIA,Infantryman Militia,11,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_INFECTOR,Infector,35,gated,,cradle:ADVANCE_BIO_WARFARE,,cradle
UNIT_JANISSARY,Janissary,6,gated,,cradle:ADVANCE_CALIPHATE,,cradle
UNIT_JAVELIN_CAVALRY,Javelin Cavalry,2,gated,,cradle:ADVANCE_HORSE_RIDING,,cradle
UNIT_KINGS_EYE,King's Eye,13,gated,,cradle:ADVANCE_FEUDALISM,,cradle
UNIT_KNIGHT,Knight,9,gated,,cradle:ADVANCE_CHIVALRY,,cradle
UNIT_LEGAL_TEAM,Legal Team,19,gated,,cradle:ADVANCE_LEGAL_SYSTEM,,cradle
UNIT_ELITE_LEGION,Elite Legion,5,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_LEGION_MILITIA,Legion Militia,5,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_LONGSHIP,Longship,5,gated,,cradle:ADVANCE_OCEAN_FARING,,cradle
UNIT_MAN_AT_ARMS,Man at Arms,6,gated,,cradle:ADVANCE_FEUDALISM,,cradle
UNIT_ELITE_MAN_AT_ARMS,Elite Man at Arms,6,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_ELITE_MARINE,Elite Marine,17,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_MERCHANT_TRADER,Merchant Trader,8,gated,,cradle:ADVANCE_TRADE_GUILDS,,cradle
UNIT_MOUNTED_ARCHER,Mounted Archer,5,gated,,cradle:ADVANCE_MOBILE_TACTICS,,cradle
UNIT_ONAGER,Onager,8,gated,,cradle:ADVANCE_SIEGE_WEAPONS,,cradle
UNIT_ORGANIZER,Organizer,10,gated,,cradle:ADVANCE_ECO_RELIGION,,cradle
UNIT_PATRIARCH,Patriarch,15,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PEZHETAIROI,Pezhetairoi,5,gated,,cradle:ADVANCE_OLIGARCHY,,cradle
UNIT_ELITE_PIKEMAN,Elite Pikeman,5,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PIKEMAN_MILITIA,Pikeman Militia,5,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PLUNDER_I,Plunder I,1,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PLUNDER_II___CAPTIVES,Plunder II - Captives,2,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PLUNDER_III,Plunder III,4,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PLUNDER_IV,Plunder IV,6,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PRAETORIAN,Praetorian,6,gated,,cradle:ADVANCE_DICTATORSHIP,,cradle
UNIT_PROPHET,Prophet,5,life,adept,Lab,,cradle
UNIT_QUINQUEREME,Quinquereme,6,gated,,cradle:ADVANCE_HULL_MAKING,,cradle
UNIT_RAIDER,Raider,9,gated,,cradle:ADVANCE_STIRRUP,,cradle
UNIT_REED_BOAT,Reed Boat,1,starter,,cradle:ADVANCE_SHIP_BUILDING,,cradle
UNIT_SCOUT_SUB,Scout Sub,28,gated,,cradle:ADVANCE_LIQUID_BREATHING_APPARATUS,,cradle
UNIT_SETTLERCOLONIST,Settler/Colonist,20,gated,,cradle:ADVANCE_TRIBUNAL_EMPIRE,,cradle
UNIT_SHIP_OF_THE_LINE,Ship of the Line,14,gated,,cradle:ADVANCE_NAVAL_TACTICS,,cradle
UNIT_SLAVER,Slaver,4,gated,,cradle:ADVANCE_SLAVE_LABOR,,cradle
UNIT_SLAVE_TRADER,Slave Trader,6,gated,,cradle:ADVANCE_CLASSICAL_EDUCATION,,cradle
UNIT_SLINGER,Slinger,2,starter,,cradle:ADVANCE_PROJECTILE_WEAPONS,,cradle
UNIT_SPEARMAN,Spearman,1,starter,,cradle:ADVANCE_TOOLMAKING,,cradle
UNIT_ELITE_SPEARMAN,Elite Spearman,1,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_SPEARMAN_MILITIA,Spearman Militia,1,starter,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_TEUTONIC_KNIGHT,Teutonic Knight,6,gated,,cradle:ADVANCE_THEOLOGY,,cradle
UNIT_TREBUCHET,Trebuchet,9,gated,,cradle:ADVANCE_GREEK_FIRE,,cradle
UNIT_ALEXANDER_THE_GREAT,Alexander the Great,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_GENGHIS,Genghis,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_SARGON,Sargon,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HANNIBAL,Hannibal,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_CAESAR,Caesar,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_ATTILA,Attila,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_SALADIN,Saladin,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_CHARLEMAGNE,Charlemagne,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HERNAN_CORTES,Hernan Cortes,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_ULYSSES_GRANT,Ulysses Grant,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_GILGAMESH,Gilgamesh,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_FIELD_MARSHALL,Field Marshall,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_GENERAL,General,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_NORMAN_SCHWARZKOPF,Norman Schwarzkopf,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_DAVID,David,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_HAMMURABI,Hammurabi,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_KHALID_IBN_AL_WALID,Khalid ibn al-Walid,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_KHUFU,Khufu,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_LEONIDAS,Leonidas,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_MARIUS,Marius,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_NEBUCHADNEZZAR,Nebuchadnezzar,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_PACAL,Pacal,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_RAMESSES,Ramesses,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_SPARTACUS,Spartacus,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_SUN_TZU,Sun Tzu,10,gated,,cradle:ADVANCE_HEXTAPUL,,cradle
UNIT_MAN_AT_ARMS_MILITIA,Man At Arms Militia,6,gated,,aom:ADVANCE_HEXTAPUL,,aom
UNIT_ADVANCED_WARRIOR,Advanced Warrior,2,gated,,aom:ADVANCE_TRIBES,,aom
UNIT_AT_GUN,At Gun,18,gated,,aom:ADVANCE_MILITARY_TRADITION,,aom
UNIT_AUXILLIARY_LEGION,Auxilliary Legion,5,gated,,aom:ADVANCE_IRON_WORKING,,aom
UNIT_BELFROI,Belfroi,5,nature,adept,PT,,aom
UNIT_CARRACK,Carrack,9,gated,,aom:ADVANCE_OCEAN_FARING,,aom
UNIT_CHARIOT_ARCHER,Chariot Archer,4,gated,,aom:ADVANCE_ARISTOCRACY,,aom
UNIT_CONSCRIPT_LEGION,Conscript Legion,3,gated,,aom:ADVANCE_IRON_WORKING,,aom
UNIT_CONSCRIPT_SWORDSMAN,Conscript Swordsman,1,gated,,aom:ADVANCE_COPPER_SMELTING,,aom
UNIT_CORACLE,Coracle,1,starter,,aom:ADVANCE_SHIP_BUILDING,,aom
UNIT_EAGLE_ARCHER,Eagle Archer,6,nature,adept,PT,,aom
UNIT_EAGLE_WARRIOR,Eagle Warrior,6,nature,adept,PT,,aom
UNIT_ELEPHANT_WARRIOR,Elephant Warrior,4,gated,,aom:ADVANCE_OLIGARCHY,,aom
UNIT_FEUDAL_CAVALRY,Feudal Cavalry,9,gated,,aom:ADVANCE_CHIVALRY,,aom
UNIT_FEUDAL_INFANTRY,Feudal Infantry,5,gated,,aom:ADVANCE_DARK_AGES,,aom
UNIT_HEAVY_SPEARMAN,Heavy Spearman,2,gated,,aom:ADVANCE_PLOUGH,,aom
UNIT_HEAVY_SWORDSMAN,Heavy Swordsman,2,gated,,aom:ADVANCE_COPPER_SMELTING,,aom
UNIT_HEPTIREME,Heptireme,6,gated,,aom:ADVANCE_HULL_MAKING,,aom
UNIT_HUN_RAIDER,Hun Raider,7,gated,,aom:ADVANCE_MIGRATION,,aom
UNIT_IMPERIAL_ENVOY,Imperial Envoy,7,chaos,adept,Med,,aom
UNIT_JAVELINEER,Javelineer,2,gated,,aom:ADVANCE_BRICK_MAKING,,aom
UNIT_KNIGHT_TEMPLAR,Knight Templar,9,life,mage,Las,,aom
UNIT_LONGBOW,Longbow,9,gated,,aom:ADVANCE_YEOMANRY,,aom
UNIT_MAMELUKE,Mameluke,10,gated,,aom:ADVANCE_CALIPHATE,,aom
UNIT_MECHANISED_INFANTRY,Mechanised Infantry,27,gated,,aom:ADVANCE_FIBRE_OPTICS,,aom
UNIT_MEDIEVAL_INFANTRY,Medieval Infantry,7,gated,,aom:ADVANCE_IRON_CASTING,,aom
UNIT_MIGRANT,Migrant,1,starter,,aom:ADVANCE_DYNASTY,,aom
UNIT_PEZHETEROI,Pezheteroi,3,gated,,aom:ADVANCE_REPUBLIC,,aom
UNIT_PHALANX,Phalanx,3,gated,,aom:ADVANCE_CITIZENSHIP,,aom
