cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str,source
2,Chivalry,,Feu,nil,0,0    ; Chi,ICON_ADVANCE_CHIVALRY,ADVANCE_CHIVALRY_GAMEPLAY,ADVANCE_CHIVALRY_HISTORICAL,ADVANCE_CHIVALRY_PREREQ,ADVANCE_CHIVALRY_STATISTICS,ADVANCE_CHIVALRY_PREREQ,base
7,Code of Laws,,Alp,nil,0,2    ; CoL,ICON_ADVANCE_CODE_OF_LAWS,ADVANCE_CODE_OF_LAWS_GAMEPLAY,ADVANCE_CODE_OF_LAWS_HISTORICAL,ADVANCE_CODE_OF_LAWS_PREREQ,ADVANCE_CODE_OF_LAWS_STATISTICS,ADVANCE_CODE_OF_LAWS_PREREQ,base
44,Healing,,Ast,Phi,0,3    ; CA,ICON_ADVANCE_HEALING,ADVANCE_HEALING_GAMEPLAY,ADVANCE_HEALING_HISTORICAL,ADVANCE_HEALING_PREREQ,ADVANCE_HEALING_STATISTICS,ADVANCE_HEALING_PREREQ,base
44,Lesser Enchanments,,no,nil,0,3    ; Cmb,ICON_ADVANCE_LESSER_ENCHANMENTS,ADVANCE_LESSER_ENCHANMENTS_GAMEPLAY,ADVANCE_LESSER_ENCHANMENTS_HISTORICAL,ADVANCE_LESSER_ENCHANMENTS_PREREQ,ADVANCE_LESSER_ENCHANMENTS_STATISTICS,ADVANCE_LESSER_ENCHANMENTS_PREREQ,base
2,Extra Advance 4,,no,no,0,0    ; Cmn,ICON_ADVANCE_EXTRA_ADVANCE_4,ADVANCE_EXTRA_ADVANCE_4_GAMEPLAY,ADVANCE_EXTRA_ADVANCE_4_HISTORICAL,ADVANCE_EXTRA_ADVANCE_4_PREREQ,ADVANCE_EXTRA_ADVANCE_4_STATISTICS,ADVANCE_EXTRA_ADVANCE_4_PREREQ,base
44,Metamorphosis,,E1,Cst,0,3    ; Cmp,ICON_ADVANCE_METAMORPHOSIS,ADVANCE_METAMORPHOSIS_GAMEPLAY,ADVANCE_METAMORPHOSIS_HISTORICAL,ADVANCE_METAMORPHOSIS_PREREQ,ADVANCE_METAMORPHOSIS_STATISTICS,ADVANCE_METAMORPHOSIS_PREREQ,base
30,Construction,,Mas,Cur,0,4    ; Cst,ICON_ADVANCE_CONSTRUCTION,ADVANCE_CONSTRUCTION_GAMEPLAY,ADVANCE_CONSTRUCTION_HISTORICAL,ADVANCE_CONSTRUCTION_PREREQ,ADVANCE_CONSTRUCTION_STATISTICS,ADVANCE_CONSTRUCTION_PREREQ,base
44,Pantheism,,Cer,Env,0,3    ; Cor,ICON_ADVANCE_PANTHEISM,ADVANCE_PANTHEISM_GAMEPLAY,ADVANCE_PANTHEISM_HISTORICAL,ADVANCE_PANTHEISM_PREREQ,ADVANCE_PANTHEISM_STATISTICS,ADVANCE_PANTHEISM_PREREQ,base
10,Currency,,Bro,nil,0,1    ; Cur,ICON_ADVANCE_CURRENCY,ADVANCE_CURRENCY_GAMEPLAY,ADVANCE_CURRENCY_HISTORICAL,ADVANCE_CURRENCY_PREREQ,ADVANCE_CURRENCY_STATISTICS,ADVANCE_CURRENCY_PREREQ,base
44,Rune Lore,,X6,Lit,0,3    ; E1,ICON_ADVANCE_RUNE_LORE,ADVANCE_RUNE_LORE_GAMEPLAY,ADVANCE_RUNE_LORE_HISTORICAL,ADVANCE_RUNE_LORE_PREREQ,ADVANCE_RUNE_LORE_STATISTICS,ADVANCE_RUNE_LORE_PREREQ,base
44,Sea Mastery,,Iro,U3,0,3    ; Eng,ICON_ADVANCE_SEA_MASTERY,ADVANCE_SEA_MASTERY_GAMEPLAY,ADVANCE_SEA_MASTERY_HISTORICAL,ADVANCE_SEA_MASTERY_PREREQ,ADVANCE_SEA_MASTERY_STATISTICS,ADVANCE_SEA_MASTERY_PREREQ,base
44,Shamanism,,nil,nil,0,3    ; Env,ICON_ADVANCE_SHAMANISM,ADVANCE_SHAMANISM_GAMEPLAY,ADVANCE_SHAMANISM_HISTORICAL,ADVANCE_SHAMANISM_PREREQ,ADVANCE_SHAMANISM_STATISTICS,ADVANCE_SHAMANISM_PREREQ,base
44,Thaumaturgy,,The,X6,0,3    ; Esp,ICON_ADVANCE_THAUMATURGY,ADVANCE_THAUMATURGY_GAMEPLAY,ADVANCE_THAUMATURGY_HISTORICAL,ADVANCE_THAUMATURGY_PREREQ,ADVANCE_THAUMATURGY_STATISTICS,ADVANCE_THAUMATURGY_PREREQ,base
2,Tactics,,Tac,Uni,0,0    ; Exp,ICON_ADVANCE_TACTICS,ADVANCE_TACTICS_GAMEPLAY,ADVANCE_TACTICS_HISTORICAL,ADVANCE_TACTICS_PREREQ,ADVANCE_TACTICS_STATISTICS,ADVANCE_TACTICS_PREREQ,base
2,Feudalism,,War,nil,0,0    ; Feu,ICON_ADVANCE_FEUDALISM,ADVANCE_FEUDALISM_GAMEPLAY,ADVANCE_FEUDALISM_HISTORICAL,ADVANCE_FEUDALISM_PREREQ,ADVANCE_FEUDALISM_STATISTICS,ADVANCE_FEUDALISM_PREREQ,base
44,Wizardry,,AFl,nil,0,3    ; Fli,ICON_ADVANCE_WIZARDRY,ADVANCE_WIZARDRY_GAMEPLAY,ADVANCE_WIZARDRY_HISTORICAL,ADVANCE_WIZARDRY_PREREQ,ADVANCE_WIZARDRY_STATISTICS,ADVANCE_WIZARDRY_PREREQ,base
44,Glyphs,,no,no,0,3    ; FP,ICON_ADVANCE_GLYPHS,ADVANCE_GLYPHS_GAMEPLAY,ADVANCE_GLYPHS_HISTORICAL,ADVANCE_GLYPHS_PREREQ,ADVANCE_GLYPHS_STATISTICS,ADVANCE_GLYPHS_PREREQ,base
45,Life Magic,,NF,nil,1,2    ; Gen,ICON_ADVANCE_LIFE_MAGIC,ADVANCE_LIFE_MAGIC_GAMEPLAY,ADVANCE_LIFE_MAGIC_HISTORICAL,ADVANCE_LIFE_MAGIC_PREREQ,ADVANCE_LIFE_MAGIC_STATISTICS,ADVANCE_LIFE_MAGIC_PREREQ,base
62,Chaos Magic,,NF,nil,1,0    ; Gun,ICON_ADVANCE_CHAOS_MAGIC,ADVANCE_CHAOS_MAGIC_GAMEPLAY,ADVANCE_CHAOS_MAGIC_HISTORICAL,ADVANCE_CHAOS_MAGIC_PREREQ,ADVANCE_CHAOS_MAGIC_STATISTICS,ADVANCE_CHAOS_MAGIC_PREREQ,base
56,Sorcery,,NF,nil,1,4    ; Hor,ICON_ADVANCE_SORCERY,ADVANCE_SORCERY_GAMEPLAY,ADVANCE_SORCERY_HISTORICAL,ADVANCE_SORCERY_PREREQ,ADVANCE_SORCERY_STATISTICS,ADVANCE_SORCERY_PREREQ,base
45,Life Lore,,Gen,Ato,1,2    ; Inv,ICON_ADVANCE_LIFE_LORE,ADVANCE_LIFE_LORE_GAMEPLAY,ADVANCE_LIFE_LORE_HISTORICAL,ADVANCE_LIFE_LORE_PREREQ,ADVANCE_LIFE_LORE_STATISTICS,ADVANCE_LIFE_LORE_PREREQ,base
30,Iron Working,,Bro,War,0,4    ; Iro,ICON_ADVANCE_IRON_WORKING,ADVANCE_IRON_WORKING_GAMEPLAY,ADVANCE_IRON_WORKING_HISTORICAL,ADVANCE_IRON_WORKING_PREREQ,ADVANCE_IRON_WORKING_STATISTICS,ADVANCE_IRON_WORKING_PREREQ,base
45,Life Adept,,Inv,nil,1,2    ; Lab,ICON_ADVANCE_LIFE_ADEPT,ADVANCE_LIFE_ADEPT_GAMEPLAY,ADVANCE_LIFE_ADEPT_HISTORICAL,ADVANCE_LIFE_ADEPT_PREREQ,ADVANCE_LIFE_ADEPT_STATISTICS,ADVANCE_LIFE_ADEPT_PREREQ,base
45,Life Mage,,Lab,nil,1,2    ; Las,ICON_ADVANCE_LIFE_MAGE,ADVANCE_LIFE_MAGE_GAMEPLAY,ADVANCE_LIFE_MAGE_HISTORICAL,ADVANCE_LIFE_MAGE_PREREQ,ADVANCE_LIFE_MAGE_STATISTICS,ADVANCE_LIFE_MAGE_PREREQ,base
2,Holy Warriors,,Chi,The,0,0    ; Ldr,ICON_ADVANCE_HOLY_WARRIORS,ADVANCE_HOLY_WARRIORS_GAMEPLAY,ADVANCE_HOLY_WARRIORS_HISTORICAL,ADVANCE_HOLY_WARRIORS_PREREQ,ADVANCE_HOLY_WARRIORS_STATISTICS,ADVANCE_HOLY_WARRIORS_PREREQ,base
44,Literacy,,Wri,CoL,0,3    ; Lit,ICON_ADVANCE_LITERACY,ADVANCE_LITERACY_GAMEPLAY,ADVANCE_LITERACY_HISTORICAL,ADVANCE_LITERACY_PREREQ,ADVANCE_LITERACY_STATISTICS,ADVANCE_LITERACY_PREREQ,base
45,Life Wizard,,Las,nil,1,2    ; Too,ICON_ADVANCE_LIFE_WIZARD,ADVANCE_LIFE_WIZARD_GAMEPLAY,ADVANCE_LIFE_WIZARD_HISTORICAL,ADVANCE_LIFE_WIZARD_PREREQ,ADVANCE_LIFE_WIZARD_STATISTICS,ADVANCE_LIFE_WIZARD_PREREQ,base
45,Life Master,,Too,nil,1,2    ; Mag,ICON_ADVANCE_LIFE_MASTER,ADVANCE_LIFE_MASTER_GAMEPLAY,ADVANCE_LIFE_MASTER_HISTORICAL,ADVANCE_LIFE_MASTER_PREREQ,ADVANCE_LIFE_MASTER_STATISTICS,ADVANCE_LIFE_MASTER_PREREQ,base
10,Map Making,,Alp,nil,0,1    ; Map,ICON_ADVANCE_MAP_MAKING,ADVANCE_MAP_MAKING_GAMEPLAY,ADVANCE_MAP_MAKING_HISTORICAL,ADVANCE_MAP_MAKING_PREREQ,ADVANCE_MAP_MAKING_STATISTICS,ADVANCE_MAP_MAKING_PREREQ,base
30,Masonry,,nil,nil,0,4    ; Mas,ICON_ADVANCE_MASONRY,ADVANCE_MASONRY_GAMEPLAY,ADVANCE_MASONRY_HISTORICAL,ADVANCE_MASONRY_PREREQ,ADVANCE_MASONRY_STATISTICS,ADVANCE_MASONRY_PREREQ,base
62,Chaos Lore,,Gun,Ato,1,0    ; MP,ICON_ADVANCE_CHAOS_LORE,ADVANCE_CHAOS_LORE_GAMEPLAY,ADVANCE_CHAOS_LORE_HISTORICAL,ADVANCE_CHAOS_LORE_PREREQ,ADVANCE_CHAOS_LORE_STATISTICS,ADVANCE_CHAOS_LORE_PREREQ,base
44,Mathematics,,Alp,Mas,0,3    ; Mat,ICON_ADVANCE_MATHEMATICS,ADVANCE_MATHEMATICS_GAMEPLAY,ADVANCE_MATHEMATICS_HISTORICAL,ADVANCE_MATHEMATICS_PREREQ,ADVANCE_MATHEMATICS_STATISTICS,ADVANCE_MATHEMATICS_PREREQ,base
62,Chaos Adept,,MP,nil,1,0    ; Med,ICON_ADVANCE_CHAOS_ADEPT,ADVANCE_CHAOS_ADEPT_GAMEPLAY,ADVANCE_CHAOS_ADEPT_HISTORICAL,ADVANCE_CHAOS_ADEPT_PREREQ,ADVANCE_CHAOS_ADEPT_STATISTICS,ADVANCE_CHAOS_ADEPT_PREREQ,base
62,Chaos Mage,,Med,nil,1,0    ; Met,ICON_ADVANCE_CHAOS_MAGE,ADVANCE_CHAOS_MAGE_GAMEPLAY,ADVANCE_CHAOS_MAGE_HISTORICAL,ADVANCE_CHAOS_MAGE_PREREQ,ADVANCE_CHAOS_MAGE_STATISTICS,ADVANCE_CHAOS_MAGE_PREREQ,base
62,Chaos Wizard,,Met,nil,1,0    ; Min,ICON_ADVANCE_CHAOS_WIZARD,ADVANCE_CHAOS_WIZARD_GAMEPLAY,ADVANCE_CHAOS_WIZARD_HISTORICAL,ADVANCE_CHAOS_WIZARD_PREREQ,ADVANCE_CHAOS_WIZARD_STATISTICS,ADVANCE_CHAOS_WIZARD_PREREQ,base
62,Chaos Master,,Min,nil,1,0    ; Mob,ICON_ADVANCE_CHAOS_MASTER,ADVANCE_CHAOS_MASTER_GAMEPLAY,ADVANCE_CHAOS_MASTER_HISTORICAL,ADVANCE_CHAOS_MASTER_PREREQ,ADVANCE_CHAOS_MASTER_STATISTICS,ADVANCE_CHAOS_MASTER_PREREQ,base
7,Monarchy,,Cer,CoL,0,2    ; Mon,ICON_ADVANCE_MONARCHY,ADVANCE_MONARCHY_GAMEPLAY,ADVANCE_MONARCHY_HISTORICAL,ADVANCE_MONARCHY_PREREQ,ADVANCE_MONARCHY_STATISTICS,ADVANCE_MONARCHY_PREREQ,base
7,Theology,,Phi,Feu,0,2    ; MT,ICON_ADVANCE_THEOLOGY,ADVANCE_THEOLOGY_GAMEPLAY,ADVANCE_THEOLOGY_HISTORICAL,ADVANCE_THEOLOGY_PREREQ,ADVANCE_THEOLOGY_STATISTICS,ADVANCE_THEOLOGY_PREREQ,base
7,Mysticism,,Cer,nil,0,2    ; Mys,ICON_ADVANCE_MYSTICISM,ADVANCE_MYSTICISM_GAMEPLAY,ADVANCE_MYSTICISM_HISTORICAL,ADVANCE_MYSTICISM_PREREQ,ADVANCE_MYSTICISM_STATISTICS,ADVANCE_MYSTICISM_PREREQ,base
10,Navigation,,Sea,Ast,0,1    ; Nav,ICON_ADVANCE_NAVIGATION,ADVANCE_NAVIGATION_GAMEPLAY,ADVANCE_NAVIGATION_HISTORICAL,ADVANCE_NAVIGATION_PREREQ,ADVANCE_NAVIGATION_STATISTICS,ADVANCE_NAVIGATION_PREREQ,base
2,Grand Mastery,,Exp,Fli,0,0    ; NF,ICON_ADVANCE_GRAND_MASTERY,ADVANCE_GRAND_MASTERY_GAMEPLAY,ADVANCE_GRAND_MASTERY_HISTORICAL,ADVANCE_GRAND_MASTERY_PREREQ,ADVANCE_GRAND_MASTERY_STATISTICS,ADVANCE_GRAND_MASTERY_PREREQ,base
56,Sorcery Mage,,X2,nil,1,4    ; NP,ICON_ADVANCE_SORCERY_MAGE,ADVANCE_SORCERY_MAGE_GAMEPLAY,ADVANCE_SORCERY_MAGE_HISTORICAL,ADVANCE_SORCERY_MAGE_PREREQ,ADVANCE_SORCERY_MAGE_STATISTICS,ADVANCE_SORCERY_MAGE_PREREQ,base
7,Philosophy,,Mys,Lit,0,2    ; Phi,ICON_ADVANCE_PHILOSOPHY,ADVANCE_PHILOSOPHY_GAMEPLAY,ADVANCE_PHILOSOPHY_HISTORICAL,ADVANCE_PHILOSOPHY_PREREQ,ADVANCE_PHILOSOPHY_STATISTICS,ADVANCE_PHILOSOPHY_PREREQ,base
56,Sorcery Wizard,,NP,nil,1,4    ; Phy,ICON_ADVANCE_SORCERY_WIZARD,ADVANCE_SORCERY_WIZARD_GAMEPLAY,ADVANCE_SORCERY_WIZARD_HISTORICAL,ADVANCE_SORCERY_WIZARD_PREREQ,ADVANCE_SORCERY_WIZARD_STATISTICS,ADVANCE_SORCERY_WIZARD_PREREQ,base
56,Sorcery Master,,Phy,nil,1,4    ; Pla,ICON_ADVANCE_SORCERY_MASTER,ADVANCE_SORCERY_MASTER_GAMEPLAY,ADVANCE_SORCERY_MASTER_HISTORICAL,ADVANCE_SORCERY_MASTER_PREREQ,ADVANCE_SORCERY_MASTER_STATISTICS,ADVANCE_SORCERY_MASTER_PREREQ,base
40,Nature Lore,,X1,Ato,1,1    ; Plu,ICON_ADVANCE_NATURE_LORE,ADVANCE_NATURE_LORE_GAMEPLAY,ADVANCE_NATURE_LORE_HISTORICAL,ADVANCE_NATURE_LORE_PREREQ,ADVANCE_NATURE_LORE_STATISTICS,ADVANCE_NATURE_LORE_PREREQ,base
40,Nature Adept,,Plu,nil,1,1    ; PT,ICON_ADVANCE_NATURE_ADEPT,ADVANCE_NATURE_ADEPT_GAMEPLAY,ADVANCE_NATURE_ADEPT_HISTORICAL,ADVANCE_NATURE_ADEPT_PREREQ,ADVANCE_NATURE_ADEPT_STATISTICS,ADVANCE_NATURE_ADEPT_PREREQ,base
10,Pottery,,nil,nil,0,1    ; Pot,ICON_ADVANCE_POTTERY,ADVANCE_POTTERY_GAMEPLAY,ADVANCE_POTTERY_HISTORICAL,ADVANCE_POTTERY_PREREQ,ADVANCE_POTTERY_STATISTICS,ADVANCE_POTTERY_PREREQ,base
40,Nature Mage,,PT,nil,1,1    ; Rad,ICON_ADVANCE_NATURE_MAGE,ADVANCE_NATURE_MAGE_GAMEPLAY,ADVANCE_NATURE_MAGE_HISTORICAL,ADVANCE_NATURE_MAGE_PREREQ,ADVANCE_NATURE_MAGE_STATISTICS,ADVANCE_NATURE_MAGE_PREREQ,base
44,Greater Enchantments,,no,nil,0,3    ; RR,ICON_ADVANCE_GREATER_ENCHANTMENTS,ADVANCE_GREATER_ENCHANTMENTS_GAMEPLAY,ADVANCE_GREATER_ENCHANTMENTS_HISTORICAL,ADVANCE_GREATER_ENCHANTMENTS_PREREQ,ADVANCE_GREATER_ENCHANTMENTS_STATISTICS,ADVANCE_GREATER_ENCHANTMENTS_PREREQ,base
40,Nature Wizard,,Rad,nil,1,1    ; Rec,ICON_ADVANCE_NATURE_WIZARD,ADVANCE_NATURE_WIZARD_GAMEPLAY,ADVANCE_NATURE_WIZARD_HISTORICAL,ADVANCE_NATURE_WIZARD_PREREQ,ADVANCE_NATURE_WIZARD_STATISTICS,ADVANCE_NATURE_WIZARD_PREREQ,base
40,Nature Master,,Rec,nil,1,1    ; Ref,ICON_ADVANCE_NATURE_MASTER,ADVANCE_NATURE_MASTER_GAMEPLAY,ADVANCE_NATURE_MASTER_HISTORICAL,ADVANCE_NATURE_MASTER_PREREQ,ADVANCE_NATURE_MASTER_STATISTICS,ADVANCE_NATURE_MASTER_PREREQ,base
46,Death Lore,,U2,Ato,1,3    ; Rfg,ICON_ADVANCE_DEATH_LORE,ADVANCE_DEATH_LORE_GAMEPLAY,ADVANCE_DEATH_LORE_HISTORICAL,ADVANCE_DEATH_LORE_PREREQ,ADVANCE_DEATH_LORE_STATISTICS,ADVANCE_DEATH_LORE_PREREQ,base
7,The Republic,,Lit,nil,0,2    ; Rep,ICON_ADVANCE_THE_REPUBLIC,ADVANCE_THE_REPUBLIC_GAMEPLAY,ADVANCE_THE_REPUBLIC_HISTORICAL,ADVANCE_THE_REPUBLIC_PREREQ,ADVANCE_THE_REPUBLIC_STATISTICS,ADVANCE_THE_REPUBLIC_PREREQ,base
46,Death Adept,,Rfg,nil,1,3    ; Rob,ICON_ADVANCE_DEATH_ADEPT,ADVANCE_DEATH_ADEPT_GAMEPLAY,ADVANCE_DEATH_ADEPT_HISTORICAL,ADVANCE_DEATH_ADEPT_PREREQ,ADVANCE_DEATH_ADEPT_STATISTICS,ADVANCE_DEATH_ADEPT_PREREQ,base
10,Sanitation,,CA,nil,0,1    ; San,ICON_ADVANCE_SANITATION,ADVANCE_SANITATION_GAMEPLAY,ADVANCE_SANITATION_HISTORICAL,ADVANCE_SANITATION_PREREQ,ADVANCE_SANITATION_STATISTICS,ADVANCE_SANITATION_PREREQ,base
10,Seafaring,,Map,Pot,0,1    ; Sea,ICON_ADVANCE_SEAFARING,ADVANCE_SEAFARING_GAMEPLAY,ADVANCE_SEAFARING_HISTORICAL,ADVANCE_SEAFARING_PREREQ,ADVANCE_SEAFARING_STATISTICS,ADVANCE_SEAFARING_PREREQ,base
46,Death Mage,,Rob,nil,1,3    ; SFl,ICON_ADVANCE_DEATH_MAGE,ADVANCE_DEATH_MAGE_GAMEPLAY,ADVANCE_DEATH_MAGE_HISTORICAL,ADVANCE_DEATH_MAGE_PREREQ,ADVANCE_DEATH_MAGE_STATISTICS,ADVANCE_DEATH_MAGE_PREREQ,base
46,Death Wizard,,SFl,nil,1,3    ; Sth,ICON_ADVANCE_DEATH_WIZARD,ADVANCE_DEATH_WIZARD_GAMEPLAY,ADVANCE_DEATH_WIZARD_HISTORICAL,ADVANCE_DEATH_WIZARD_PREREQ,ADVANCE_DEATH_WIZARD_STATISTICS,ADVANCE_DEATH_WIZARD_PREREQ,base
46,Death Master,,Sth,nil,1,3    ; SE,ICON_ADVANCE_DEATH_MASTER,ADVANCE_DEATH_MASTER_GAMEPLAY,ADVANCE_DEATH_MASTER_HISTORICAL,ADVANCE_DEATH_MASTER_PREREQ,ADVANCE_DEATH_MASTER_STATISTICS,ADVANCE_DEATH_MASTER_PREREQ,base
2,Leadership,,Chi,Uni,0,0    ; Tac,ICON_ADVANCE_LEADERSHIP,ADVANCE_LEADERSHIP_GAMEPLAY,ADVANCE_LEADERSHIP_HISTORICAL,ADVANCE_LEADERSHIP_PREREQ,ADVANCE_LEADERSHIP_STATISTICS,ADVANCE_LEADERSHIP_PREREQ,base
56,Sorcerous Lore,,Hor,Ato,1,4    ; The,ICON_ADVANCE_SORCEROUS_LORE,ADVANCE_SORCEROUS_LORE_GAMEPLAY,ADVANCE_SORCEROUS_LORE_HISTORICAL,ADVANCE_SORCEROUS_LORE_PREREQ,ADVANCE_SORCEROUS_LORE_STATISTICS,ADVANCE_SORCEROUS_LORE_PREREQ,base
10,Trade,,Cur,CoL,0,1    ; Tra,ICON_ADVANCE_TRADE,ADVANCE_TRADE_GAMEPLAY,ADVANCE_TRADE_HISTORICAL,ADVANCE_TRADE_PREREQ,ADVANCE_TRADE_STATISTICS,ADVANCE_TRADE_PREREQ,base
44,University,,Mat,Phi,0,3    ; Uni,ICON_ADVANCE_UNIVERSITY,ADVANCE_UNIVERSITY_GAMEPLAY,ADVANCE_UNIVERSITY_HISTORICAL,ADVANCE_UNIVERSITY_PREREQ,ADVANCE_UNIVERSITY_STATISTICS,ADVANCE_UNIVERSITY_PREREQ,base
2,Warrior Code,,nil,nil,0,0    ; War,ICON_ADVANCE_WARRIOR_CODE,ADVANCE_WARRIOR_CODE_GAMEPLAY,ADVANCE_WARRIOR_CODE_HISTORICAL,ADVANCE_WARRIOR_CODE_PREREQ,ADVANCE_WARRIOR_CODE_STATISTICS,ADVANCE_WARRIOR_CODE_PREREQ,base
44,Writing,,Alp,nil,0,3    ; Wri,ICON_ADVANCE_WRITING,ADVANCE_WRITING_GAMEPLAY,ADVANCE_WRITING_HISTORICAL,ADVANCE_WRITING_PREREQ,ADVANCE_WRITING_STATISTICS,ADVANCE_WRITING_PREREQ,base
66,Future Technology,,Sth,MP,3,3    ; ...,ICON_ADVANCE_FUTURE_TECHNOLOGY,ADVANCE_FUTURE_TECHNOLOGY_GAMEPLAY,ADVANCE_FUTURE_TECHNOLOGY_HISTORICAL,ADVANCE_FUTURE_TECHNOLOGY_PREREQ,ADVANCE_FUTURE_TECHNOLOGY_STATISTICS,ADVANCE_FUTURE_TECHNOLOGY_PREREQ,base
44,Forces of Nature,,Amp,nil,0,3    ; U1,ICON_ADVANCE_FORCES_OF_NATURE,ADVANCE_FORCES_OF_NATURE_GAMEPLAY,ADVANCE_FORCES_OF_NATURE_HISTORICAL,ADVANCE_FORCES_OF_NATURE_PREREQ,ADVANCE_FORCES_OF_NATURE_STATISTICS,ADVANCE_FORCES_OF_NATURE_PREREQ,base
46,Death Magic,,NF,nil,1,3    ; U2,ICON_ADVANCE_DEATH_MAGIC,ADVANCE_DEATH_MAGIC_GAMEPLAY,ADVANCE_DEATH_MAGIC_HISTORICAL,ADVANCE_DEATH_MAGIC_PREREQ,ADVANCE_DEATH_MAGIC_STATISTICS,ADVANCE_DEATH_MAGIC_PREREQ,base
44,Sea Lore,,Nav,nil,0,3    ; U3,ICON_ADVANCE_SEA_LORE,ADVANCE_SEA_LORE_GAMEPLAY,ADVANCE_SEA_LORE_HISTORICAL,ADVANCE_SEA_LORE_PREREQ,ADVANCE_SEA_LORE_STATISTICS,ADVANCE_SEA_LORE_PREREQ,base
40,Nature Magic,,NF,nil,1,1    ; X1,ICON_ADVANCE_NATURE_MAGIC,ADVANCE_NATURE_MAGIC_GAMEPLAY,ADVANCE_NATURE_MAGIC_HISTORICAL,ADVANCE_NATURE_MAGIC_PREREQ,ADVANCE_NATURE_MAGIC_STATISTICS,ADVANCE_NATURE_MAGIC_PREREQ,base
