cell_index,name,cost,upkeep,prereq,icon,source
45,Oracle,30,0,Mys,ICON_IMPROVE_ORACLE,base
46,Wall of Bone,30,0,Rob,ICON_IMPROVE_WALL_OF_BONE,base
47,Guild of Legends,30,0,Feu,ICON_IMPROVE_GUILD_OF_LEGENDS,base
48,Rune of Rulership,30,0,E1,ICON_IMPROVE_RUNE_OF_RULERSHIP,base
49,Bardic College,20,0,Tra,ICON_IMPROVE_BARDIC_COLLEGE,base
50,The Parthenon,40,0,MT,ICON_IMPROVE_THE_PARTHENON,base
51,Mystic X's Tower,30,0,Ast,ICON_IMPROVE_MYSTIC_XS_TOWER,base
52,Gunthar's Voyage,40,0,Nav,ICON_IMPROVE_GUNTHARS_VOYAGE,base
53,Prospero's Conservatory,30,0,CA,ICON_IMPROVE_PROSPEROS_CONSERVATORY,base
54,Elixir of Metamorphosis,40,0,Cmp,ICON_IMPROVE_ELIXIR_OF_METAMORPHOSIS,base
55,Enchanted Grotto,40,0,Inv,ICON_IMPROVE_ENCHANTED_GROTTO,base
56,Eldritch College,40,0,Ato,ICON_IMPROVE_ELDRITCH_COLLEGE,base
57,Gnome Treasury,40,0,Eco,ICON_IMPROVE_GNOME_TREASURY,base
58,Reywind's Discovery,40,0,RR,ICON_IMPROVE_REYWINDS_DISCOVERY,base
60,Mesmer's Tower,30,0,Cmb,ICON_IMPROVE_MESMERS_TOWER,base
61,xWomen's Suffrage,60,0,no,ICON_IMPROVE_WOMENS_SUFFRAGE,base
62,Forge of Chaos,60,0,Min,ICON_IMPROVE_FORGE_OF_CHAOS,base
63,Entropy Engine,60,0,NF,ICON_IMPROVE_ENTROPY_ENGINE,base
64,League of Wizards,60,0,Phy,ICON_IMPROVE_LEAGUE_OF_WIZARDS,base
66,Celestial Beacon,60,0,Too,ICON_IMPROVE_CELESTIAL_BEACON,base
999,HIDE Supermarket,0,0,nil,ICON_IMPROVE_NOTHING,base
1,Capital (Palace),10,0,homm2:Mas,ICON_IMPROVE_CAPITAL_PALACE,homm2
4,Tavern (Temple),4,1,homm2:Cer,ICON_IMPROVE_TAVERN_TEMPLE,homm2
5,MarketPlace,8,1,homm2:Cur,ICON_IMPROVE_MARKETPLACE,homm2
8,Castle Fortifications (City Walls),8,0,homm2:Hor,ICON_IMPROVE_CASTLE_FORTIFICATIONS_CITY_WALLS,homm2
9,Waterfall (Aqueduct),8,2,homm2:Cst,ICON_IMPROVE_WATERFALL_AQUEDUCT,homm2
10,Statue (Bank),12,3,homm2:Eco,ICON_IMPROVE_STATUE_BANK,homm2
12,Mage Guild (University),16,3,homm2:Lit,ICON_IMPROVE_MAGE_GUILD_UNIVERSITY,homm2
13,Treehouse (Mass Transit),16,4,homm2:Lab,ICON_IMPROVE_TREEHOUSE_MASS_TRANSIT,homm2
14,Arena (Colosseum),10,4,homm2:The,ICON_IMPROVE_ARENA_COLOSSEUM,homm2
15,Foundry (Factory),20,4,homm2:San,ICON_IMPROVE_FOUNDRY_FACTORY,homm2
16,Upg. Foundry (Manufacturing Plant),32,6,homm2:Min,ICON_IMPROVE_UPG_FOUNDRY_MANUFACTURING_PLANT,homm2
17,Magic Shield Tower (SDI Defense),20,4,homm2:Roc,ICON_IMPROVE_MAGIC_SHIELD_TOWER_SDI_DEFENSE,homm2
18,Garbage Heap (Recycling Center),20,2,homm2:Rec,ICON_IMPROVE_GARBAGE_HEAP_RECYCLING_CENTER,homm2
19,Cave Mine (Power Plant),16,4,homm2:MP,ICON_IMPROVE_CAVE_MINE_POWER_PLANT,homm2
20,Bridge Dam (Hydro Plant),24,4,homm2:MP,ICON_IMPROVE_BRIDGE_DAM_HYDRO_PLANT,homm2
22,Dungeon Keep (Stock Exchange),16,4,homm2:Pot,ICON_IMPROVE_DUNGEON_KEEP_STOCK_EXCHANGE,homm2
23,Well (Sewer System),12,2,homm2:Bri,ICON_IMPROVE_WELL_SEWER_SYSTEM,homm2
24,Farms (Supermarket),8,3,homm2:Rec,ICON_IMPROVE_FARMS_SUPERMARKET,homm2
25,Stonehenge (Superhighways),20,5,homm2:Cor,ICON_IMPROVE_STONEHENGE_SUPERHIGHWAYS,homm2
26,Laboratory (Research Lab),16,3,homm2:Phy,ICON_IMPROVE_LABORATORY_RESEARCH_LAB,homm2
28,Seaside Turrets (Coastal Fortress),8,1,homm2:Rfg,ICON_IMPROVE_SEASIDE_TURRETS_COASTAL_FORTRESS,homm2
29,Magic Pyramid (Solar Plant),32,4,homm2:Phi,ICON_IMPROVE_MAGIC_PYRAMID_SOLAR_PLANT,homm2
31,Upg. Harbor (Offshore Platform),16,3,homm2:Ref,ICON_IMPROVE_UPG_HARBOR_OFFSHORE_PLATFORM,homm2
32,Cliff Nest (Airport),16,3,homm2:Rad,ICON_IMPROVE_CLIFF_NEST_AIRPORT,homm2
33,Captain's Quarters (Police Station),6,2,homm2:MP,ICON_IMPROVE_CAPTAINS_QUARTERS_POLICE_STATION,homm2
34,Port Facility,8,3,homm2:Med,ICON_IMPROVE_PORT_FACILITY,homm2
35,Azure Dragon Capture,8,0,homm2:Too,ICON_IMPROVE_AZURE_DRAGON_CAPTURE,homm2
36,Azure Dragon Breeding,16,0,homm2:Too,ICON_IMPROVE_AZURE_DRAGON_BREEDING,homm2
37,Azure Dragon Training,32,0,homm2:Too,ICON_IMPROVE_AZURE_DRAGON_TRAINING,homm2
1,Keep,10,0,midgard:Mas,ICON_IMPROVE_KEEP,midgard
3,Storehouse,6,1,midgard:Pot,ICON_IMPROVE_STOREHOUSE,midgard
5,Bazaar,8,1,midgard:Cur,ICON_IMPROVE_BAZAAR,midgard
7,Castle,8,1,midgard:CoL,ICON_IMPROVE_CASTLE,midgard
10,Counting House,12,3,midgard:Ban,ICON_IMPROVE_COUNTING_HOUSE,midgard
11,Wizard's Tower,12,3,midgard:MT,ICON_IMPROVE_WIZARDS_TOWER,midgard
12,Thaumaturgical Guild,16,3,midgard:Uni,ICON_IMPROVE_THAUMATURGICAL_GUILD,midgard
13,Twenty League Boots,16,4,midgard:MP,ICON_IMPROVE_TWENTY_LEAGUE_BOOTS,midgard
14,Arena,10,4,midgard:Cst,ICON_IMPROVE_ARENA,midgard
15,Crafts Guild,20,4,midgard:Ind,ICON_IMPROVE_CRAFTS_GUILD,midgard
16,Artificer Guild,32,6,midgard:Rob,ICON_IMPROVE_ARTIFICER_GUILD,midgard
17,Fireball Shield,20,4,midgard:Las,ICON_IMPROVE_FIREBALL_SHIELD,midgard
18,Bottomless Well,20,2,midgard:Rec,ICON_IMPROVE_BOTTOMLESS_WELL,midgard
19,Staff of Power,16,4,midgard:Ref,ICON_IMPROVE_STAFF_OF_POWER,midgard
20,Alchemical Plant,24,4,midgard:E2,ICON_IMPROVE_ALCHEMICAL_PLANT,midgard
21,Mining of Hel,16,2,midgard:NP,ICON_IMPROVE_MINING_OF_HEL,midgard
22,Toll House,16,4,midgard:Eco,ICON_IMPROVE_TOLL_HOUSE,midgard
23,Catacombs,12,2,midgard:San,ICON_IMPROVE_CATACOMBS,midgard
24,Dragon's Teeth,8,3,midgard:U3,ICON_IMPROVE_DRAGONS_TEETH,midgard
25,Magic Rivers,20,5,midgard:Aut,ICON_IMPROVE_MAGIC_RIVERS,midgard
26,Alchemy Laboratory,16,3,midgard:Cmp,ICON_IMPROVE_ALCHEMY_LABORATORY,midgard
27,Magic Shield,10,2,midgard:Roc,ICON_IMPROVE_MAGIC_SHIELD,midgard
28,Harbor Guardian,8,1,midgard:Met,ICON_IMPROVE_HARBOR_GUARDIAN,midgard
29,Magical Gems,32,4,midgard:Env,ICON_IMPROVE_MAGICAL_GEMS,midgard
31,Temple of Aegir,16,3,midgard:Min,ICON_IMPROVE_TEMPLE_OF_AEGIR,midgard
32,Astral Portal,16,3,midgard:Rad,ICON_IMPROVE_ASTRAL_PORTAL,midgard
33,Guardhouse,6,2,midgard:Gue,ICON_IMPROVE_GUARDHOUSE,midgard
34,Sea Fortress,8,3,no,ICON_IMPROVE_SEA_FORTRESS,midgard
35,SS Structural,8,0,no,ICON_IMPROVE_SS_STRUCTURAL,midgard
36,SS Component,16,0,no,ICON_IMPROVE_SS_COMPONENT,midgard
37,SS Module,32,0,no,ICON_IMPROVE_SS_MODULE,midgard
1,Palace,10,0,crusades:Mas,ICON_IMPROVE_PALACE,crusades
10,Bank,12,3,crusades:Ban,ICON_IMPROVE_BANK,crusades
15,Factory,20,4,crusades:Ind,ICON_IMPROVE_FACTORY,crusades
17,SDI Defense,20,4,crusades:Las,ICON_IMPROVE_SDI_DEFENSE,crusades
18,Recycling Center,20,2,crusades:Rec,ICON_IMPROVE_RECYCLING_CENTER,crusades
19,Power Plant,16,4,crusades:Ref,ICON_IMPROVE_POWER_PLANT,crusades
20,Hydro Plant,24,4,crusades:E2,ICON_IMPROVE_HYDRO_PLANT,crusades
22,Stock Exchange,16,4,crusades:Eco,ICON_IMPROVE_STOCK_EXCHANGE,crusades
23,Sewer System,12,2,crusades:San,ICON_IMPROVE_SEWER_SYSTEM,crusades
24,Supermarket,8,3,crusades:Rfg,ICON_IMPROVE_SUPERMARKET,crusades
25,Superhighways,20,5,crusades:Aut,ICON_IMPROVE_SUPERHIGHWAYS,crusades
26,Research Lab,16,3,crusades:Cmp,ICON_IMPROVE_RESEARCH_LAB,crusades
29,Solar Plant,32,4,crusades:Env,ICON_IMPROVE_SOLAR_PLANT,crusades
31,Offshore Platform,16,3,crusades:Min,ICON_IMPROVE_OFFSHORE_PLATFORM,crusades
32,Airport,16,3,crusades:Rad,ICON_IMPROVE_AIRPORT,crusades
0,Academy,15,4,cradle:ADVANCE_COSMOLOGY,ICON_IMPROVE_ACADEMY,cradle
1,Agora,10,0,cradle:ADVANCE_CURRENCY,ICON_IMPROVE_AGORA,cradle
4,Apothecary,8,2,cradle:ADVANCE_HERBALISM,ICON_IMPROVE_APOTHECARY,cradle
8,Ballista Towers,13,3,cradle:ADVANCE_BALLISTA_TOWERS,ICON_IMPROVE_BALLISTA_TOWERS,cradle
10,Basilica,21,5,cradle:ADVANCE_GOTHIC_ARCHITECTURE,ICON_IMPROVE_BASCILICA,cradle
11,Bath House,26,7,cradle:ADVANCE_PLUMBING,ICON_IMPROVE_BATH_HOUSE,cradle
12,Battlements,24,5,cradle:ADVANCE_COASTAL_FORTS,ICON_IMPROVE_BATTLEMENTS,cradle
17,Capitol,8,0,cradle:ADVANCE_ARCHITECTURE,ICON_IMPROVE_CAPITOL,cradle
19,City Clock,25,0,cradle:ADVANCE_MECHANICAL_CLOCK,ICON_IMPROVE_CITY_CLOCK,cradle
20,City Wall,13,3,cradle:ADVANCE_MASONRY,ICON_IMPROVE_CITY_WALLS,cradle
22,Conscripted Labor,22,5,cradle:ADVANCE_CIVIC_ENGINEERING,ICON_IMPROVE_CONSCRIPTED_LABOR,cradle
23,Correctional Facility,29,5,cradle:ADVANCE_LEGAL_SYSTEM,ICON_IMPROVE_CORRECTIONAL_FACILITY,cradle
25,Craft Guild,25,8,cradle:ADVANCE_TRADE_GUILDS,ICON_IMPROVE_CRAFT_GUILD,cradle
27,Dynastic House,4,1,cradle:ADVANCE_DYNASTY,ICON_IMPROVE_DYNASTY_BLDG,cradle
31,Food Imports,20,5,cradle:ADVANCE_HULL_MAKING,ICON_IMPROVE_FOOD_IMPORTS,cradle
34,Forge,6,1,cradle:ADVANCE_COPPER_SMELTING,ICON_IMPROVE_FORGE,cradle
35,Forum,13,4,cradle:ADVANCE_ETHICS,ICON_IMPROVE_FORUM,cradle
37,Arch,20,15,cradle:ADVANCE_CONCRETE,ICON_IMPROVE_GAIA_COMPUTER,cradle
39,Hospital,30,10,cradle:ADVANCE_MEDICINE,ICON_IMPROVE_HOSPITAL,cradle
44,Mill,30,8,cradle:ADVANCE_MILLS,ICON_IMPROVE_MILL,cradle
45,Monastery,20,4,cradle:ADVANCE_CHRISTIANITY,ICON_IMPROVE_MONASTERY,cradle
46,Mosque,18,4,cradle:ADVANCE_ISLAM,ICON_IMPROVE_MOSQUE,cradle
50,Physician,14,5,cradle:ADVANCE_HIPPOCRATIC_SCHOOL,ICON_IMPROVE_PHYSICIAN,cradle
51,Magistrates,30,0,cradle:ADVANCE_BUREAUCRACY,ICON_IMPROVE_POWER_SATELLITE,cradle
53,Publishing House,21,5,cradle:ADVANCE_PRINTING_PRESS,ICON_IMPROVE_PUBLISHING_HOUSE,cradle
57,Shrine,4,1,cradle:ADVANCE_RELIGION,ICON_IMPROVE_SHRINE,cradle
59,Theater,7,3,cradle:ADVANCE_DRAMA,ICON_IMPROVE_THEATER,cradle
61,Wall,7,2,cradle:ADVANCE_BRICK_MAKING,ICON_IMPROVE_WALL,cradle
62,Work Camp,11,5,cradle:ADVANCE_ARCHITECTURE,ICON_IMPROVE_WORK_CAMP,cradle
63,Ziggurat,5,1,cradle:ADVANCE_ASTRONOMY,ICON_IMPROVE_ZIGGURAT,cradle
64,Religious Victory,200,24,cradle:ADVANCE_THEOLOGY,ICON_IMPROVE_RELIGIOUS_VICTORY,cradle
66,VR Amusement Park,48,15,cradle:ADVANCE_HEXTAPUL,ICON_IMPROVE_VR_AMUSEMENT_PARK,cradle
67,E-Bank,58,18,cradle:ADVANCE_HEXTAPUL,ICON_IMPROVE_E_BANK,cradle
69,Cornucopic Vat,48,20,cradle:ADVANCE_HEXTAPUL,ICON_IMPROVE_CORNUCOPIC_VAT,cradle
70,Aqua-Filter,100,18,cradle:ADVANCE_HEXTAPUL,ICON_IMPROVE_AQUA_FILTER,cradle
55,Silo,14,4,aom:ADVANCE_BUREAUCRACY,ICON_IMPROVE_SILO,aom
62,Stockade,4,1,aom:ADVANCE_WOOD_WORKING,ICON_IMPROVE_STOCKADE,aom
