dimension,id,name,source,mask,reason
unit,UNIT_KNIGHT_HERO_SETTLER,Knight Hero (Settler),homm2,yes,redundant faction hero-settler
unit,UNIT_PEASANT,Peasant,homm2,,
unit,UNIT_WATERAIR_ELEMENTALS,Water/Air Elementals,homm2,,
unit,UNIT_SORCERESS_HERO_SETTLER,Sorceress Hero (Settler),homm2,yes,redundant faction hero-settler
unit,UNIT_NOMAD,Nomad,homm2,,
unit,UNIT_EARTHFIRE_ELEMENTALS,Earth/Fire Elementals,homm2,,
unit,UNIT_GHOST,Ghost,homm2,,
unit,UNIT_NECROMANCER_HERO_SETTLER,Necromancer Hero (Settler),homm2,yes,redundant faction hero-settler
unit,UNIT_SKELETON,Skeleton,homm2,,
unit,UNIT_WARLOCK_HERO_SETTLER,Warlock Hero (Settler),homm2,yes,redundant faction hero-settler
unit,UNIT_BARBARIAN_HERO_SETTLER,Barbarian Hero (Settler),homm2,yes,redundant faction hero-settler
unit,UNIT_CENTAUR,Centaur,homm2,,
unit,UNIT_MEDUSA,Medusa,homm2,,
unit,UNIT_FAERIE_SPRITE,Faerie Sprite,homm2,,
unit,UNIT_GOBLIN,Goblin,homm2,,
unit,UNIT_DWARF,Dwarf,homm2,,
unit,UNIT_RED_DRAGON,Red Dragon,homm2,,
unit,UNIT_GREEN_DRAGON,Green Dragon,homm2,,
unit,UNIT_ARCHER,Archer,homm2,,
unit,UNIT_SIEGE_CATAPULT,Siege Catapult,homm2,,
unit,UNIT_GENIE,Genie,homm2,,
unit,UNIT_ORC,Orc,homm2,,
unit,UNIT_ELF,Elf,homm2,,
unit,UNIT_BOAR,Boar,homm2,,
unit,UNIT_WOLF,Wolf,homm2,,
unit,UNIT_GOLEM,Golem,homm2,,
unit,UNIT_PIKEMAN,Pikeman,homm2,,
unit,UNIT_BOAT,Boat,homm2,,
unit,UNIT_SHIP,Ship,homm2,,
unit,UNIT_TRADE_CART,Trade Cart,homm2,,
unit,UNIT_ROGUE_THIEF,Rogue Thief,homm2,,
unit,UNIT_MAGIC_ARROW,Magic Arrow,homm2,,
unit,UNIT_LIGHTNING_BOLT,Lightning Bolt,homm2,,
unit,UNIT_ARMAGEDDON_FIRE_BLAST,Armageddon Fire Blast,homm2,,
unit,UNIT_XANADU,Xanadu,homm2,yes,pseudo-building (creature dwelling)
unit,UNIT_DRAGON_CITY,Dragon City,homm2,yes,pseudo-building (town-as-unit)
unit,UNIT_CITY_OF_THE_DEAD,City of the Dead,homm2,yes,pseudo-building (town-as-unit)
unit,UNIT_OGRE,Ogre,homm2,,
unit,UNIT_ROC,Roc,homm2,,
unit,UNIT_SWORDSMAN,Swordsman,homm2,,
unit,UNIT_ZOMBIE,Zombie,homm2,,
unit,UNIT_MUMMY,Mummy,homm2,,
unit,UNIT_VAMPIRE,Vampire,homm2,,
unit,UNIT_DRUID,Druid,homm2,,
unit,UNIT_TROLL,Troll,homm2,,
unit,UNIT_LICH,Lich,homm2,,
unit,UNIT_CAVALRY,Cavalry,homm2,,
unit,UNIT_BONE_DRAGON,Bone Dragon,homm2,,
unit,UNIT_BLACK_DRAGON,Black Dragon,homm2,,
unit,UNIT_CRUSADER,Crusader,homm2,,
unit,UNIT_PHOENIX,Phoenix,homm2,,
unit,UNIT_CYCLOPS,Cyclops,homm2,,
unit,UNIT_TITAN,Titan,homm2,,
unit,UNIT_SETTLERS,Settlers,midgard,,
unit,UNIT_SORCERER,Sorcerer,midgard,,
unit,UNIT_H_WARRIORS,H. Warriors,midgard,,
unit,UNIT_MERMEN,Mermen,midgard,,
unit,UNIT_HAWKMEN,Hawkmen,midgard,,
unit,UNIT_ELF_WARRIORS,Elf Warriors,midgard,,
unit,UNIT_INFIDELS,Infidels,midgard,,
unit,UNIT_GOBLINS,Goblins,midgard,,
unit,UNIT_DWARVES,Dwarves,midgard,,
unit,UNIT_ELF_ARCHERS,Elf Archers,midgard,,
unit,UNIT_TROLLS,Trolls,midgard,,
unit,UNIT_HOUSECARLS,Housecarls,midgard,,
unit,UNIT_MERGUARDS,Merguards,midgard,,
unit,UNIT_EAGLEMEN,Eaglemen,midgard,,
unit,UNIT_BERSERKERS,Berserkers,midgard,,
unit,UNIT_I_HORSEMEN,I. Horsemen,midgard,,
unit,UNIT_ELF_RIDERS,Elf Riders,midgard,,
unit,UNIT_NIGHT_RIDERS,Night Riders,midgard,,
unit,UNIT_RANGERS,Rangers,midgard,,
unit,UNIT_GOLDEN_HORDE,Golden Horde,midgard,,
unit,UNIT_GIANT_OTTERINE,Giant Otterine,midgard,,
unit,UNIT_CRAG_WOLVES,Crag Wolves,midgard,,
unit,UNIT_ICE_DRAKE,Ice Drake,midgard,,
unit,UNIT_TREEFOLK,Treefolk,midgard,,
unit,UNIT_SIEGE_ENGINE,Siege Engine,midgard,,
unit,UNIT_BOMBARD,Bombard,midgard,,
unit,UNIT_GREAT_BATS,Great Bats,midgard,,
unit,UNIT_WITCHES,Witches,midgard,,
unit,UNIT_GREAT_WIZARD,Great Wizard,midgard,,
unit,UNIT_ELLIDA,Ellida,midgard,,
unit,UNIT_SKIDBLADNIR,Skidbladnir,midgard,,
unit,UNIT_LONGBOAT,Longboat,midgard,,
unit,UNIT_DRAGON_BOAT,Dragon Boat,midgard,,
unit,UNIT_OLD_MAN,Old Man,midgard,,
unit,UNIT_SHIELD_BOAT,Shield Boat,midgard,,
unit,UNIT_UNSPEAKABLE_HORROR,Unspeakable Horror,midgard,,
unit,UNIT_ENCH_PALADINS,Ench. Paladins,midgard,,
unit,UNIT_CHANGELING,Changeling,midgard,,
unit,UNIT_ENCH_GIANT,Ench. Giant,midgard,,
unit,UNIT_ENCH_OGRE,Ench. Ogre,midgard,,
unit,UNIT_GREAT_EAGLES,Great Eagles,midgard,,
unit,UNIT_FELL_WRAITH,Fell Wraith,midgard,,
unit,UNIT_TREE_GUARDS,Tree Guards,midgard,,
unit,UNIT_FIREBALL,Fireball,midgard,,
unit,UNIT_ENVOY,Envoy,midgard,,
unit,UNIT_SPY,Spy,midgard,,
unit,UNIT_TRITON_LEGION,Triton Legion,midgard,,
unit,UNIT_JACK_OLANTERN,Jack O'Lantern,midgard,,
unit,UNIT_SKELETONS,Skeletons,midgard,,
unit,UNIT_BARROW_WIGHTS,Barrow Wights,midgard,,
unit,UNIT_PORPOISE_POD,Porpoise Pod,midgard,,
unit,UNIT_BABA_YAGA,Baba Yaga,midgard,,
unit,UNIT_FROST_GIANT,Frost Giant,midgard,,
unit,UNIT_GIANT_SPIDER,Giant Spider,midgard,,
unit,UNIT_KRAKEN,Kraken,midgard,,
unit,UNIT_DRAGON,Dragon,midgard,,
unit,UNIT_JORMUNGANDS_SPIT,Jormungand's Spit,midgard,,
unit,UNIT_NECROMANCER,Necromancer,midgard,,
unit,UNIT_ENGINEERS,Engineers,crusades,,
unit,UNIT_LIGHT_INFANTRY,Light Infantry,crusades,,
unit,UNIT_ARCHERS,Archers,crusades,,
unit,UNIT_LEGION,Legion,crusades,,
unit,UNIT_HEAVY_INFANTRY,Heavy Infantry,crusades,,
unit,UNIT_MUSKETEERS,Musketeers,crusades,yes,gunpowder
unit,UNIT_FANATICS,Fanatics,crusades,,
unit,UNIT_PARTISANS,Partisans,crusades,,
unit,UNIT_ALPINE_TROOPS,Alpine Troops,crusades,yes,modern infantry
unit,UNIT_RIFLEMEN,Riflemen,crusades,yes,firearms
unit,UNIT_MARINES,Marines,crusades,yes,modern infantry
unit,UNIT_PARATROOPERS,Paratroopers,crusades,yes,modern infantry
unit,UNIT_MECH_INF,Mech. Inf.,crusades,yes,modern infantry
unit,UNIT_MAMLUKS,Mamluks,crusades,,
unit,UNIT_HEAVY_CAVALRY,Heavy Cavalry,crusades,,
unit,UNIT_VARANG_GUARD,Varang. Guard,crusades,,
unit,UNIT_CRUSADERS,Crusaders,crusades,,
unit,UNIT_ASCARIS,Ascaris,crusades,,
unit,UNIT_TURCOPOLES,Turcopoles,crusades,,
unit,UNIT_ARMOR,Armor,crusades,yes,modern armor
unit,UNIT_CANNON,Cannon,crusades,yes,gunpowder artillery
unit,UNIT_ARTILLERY,Artillery,crusades,yes,modern artillery
unit,UNIT_HOWITZER,Howitzer,crusades,yes,modern artillery
unit,UNIT_FIGHTER,Fighter,crusades,yes,modern aircraft
unit,UNIT_BOMBER,Bomber,crusades,yes,modern aircraft
unit,UNIT_HELICOPTER,Helicopter,crusades,yes,helicopter
unit,UNIT_STLTH_FTR,Stlth Ftr.,crusades,yes,modern aircraft
unit,UNIT_STLTH_BMBR,Stlth Bmbr.,crusades,yes,modern aircraft
unit,UNIT_TRIREME,Trireme,crusades,,
unit,UNIT_CARAVEL,Caravel,crusades,,
unit,UNIT_GALLEON,Galleon,crusades,,
unit,UNIT_FRIGATE,Frigate,crusades,,
unit,UNIT_IRONCLAD,Ironclad,crusades,,
unit,UNIT_DESTROYER,Destroyer,crusades,yes,modern warship
unit,UNIT_CRUISER,Cruiser,crusades,yes,modern warship
unit,UNIT_AEGIS_CRUISER,AEGIS Cruiser,crusades,yes,modern warship
unit,UNIT_BATTLESHIP,Battleship,crusades,yes,modern warship
unit,UNIT_SUBMARINE,Submarine,crusades,yes,modern submarine
unit,UNIT_CARRIER,Carrier,crusades,yes,modern carrier
unit,UNIT_TRANSPORT,Transport,crusades,,
unit,UNIT_CRUISE_MSL,Cruise Msl.,crusades,yes,missile
unit,UNIT_NUCLEAR_MSL,Nuclear Msl.,crusades,yes,nuclear
unit,UNIT_FREIGHT,Freight,crusades,yes,modern logistics
unit,UNIT_EXPLORER,Explorer,crusades,,
unit,UNIT_ASSASSIN,Assassin,crusades,,
unit,UNIT_KNIGHTS_TEMPLAR,Knights Templar,crusades,,
unit,UNIT_KNIGHTS_HOSP,Knights Hosp.,crusades,,
unit,UNIT_HURRICANE,Hurricane,cradle,,
unit,UNIT_ABOLITIONIST,Abolitionist,cradle,,
unit,UNIT_AIRCRAFT_CARRIER,Aircraft Carrier,cradle,yes,era: AGE_SIX (via NAVAL_AVIATION)
unit,UNIT_AMBASSADOR,Ambassador,cradle,,
unit,UNIT_ARQUEBUSIER,Arquebusier,cradle,,
unit,UNIT_ELITE_ARQUEBUSIER,Elite Arquebusier,cradle,,
unit,UNIT_BALLISTA,Ballista,cradle,,
unit,UNIT_BERZERKER,Berzerker,cradle,,
unit,UNIT_BIREME,Bireme,cradle,,
unit,UNIT_BRIGADIER,Brigadier,cradle,,
unit,UNIT_CAMEL,Camel,cradle,,
unit,UNIT_CARGO_HELICOPTER,Cargo Helicopter,cradle,yes,era: AGE_SIX (via VERTICAL_FLIGHT_AIRCRAFT)
unit,UNIT_CATAPHRACT,Cataphract,cradle,,
unit,UNIT_CHARIOT,Chariot,cradle,,
unit,UNIT_CITY,City,cradle,,
unit,UNIT_CLERIC,Cleric,cradle,,
unit,UNIT_CLUB_WARRIOR,Club Warrior,cradle,,
unit,UNIT_ELITE_CLUB_WARRIOR,Elite Club Warrior,cradle,,
unit,UNIT_COG,Cog,cradle,,
unit,UNIT_COLONEL,Colonel,cradle,,
unit,UNIT_COMPOSITE_ARCHER,Composite Archer,cradle,,
unit,UNIT_CONSCRIPT,Conscript,cradle,yes,era: AGE_FIVE (via DEMOCRACY)
unit,UNIT_CORPORATE_BRANCH,Corporate Branch,cradle,yes,era: AGE_SIX (via CORPORATION)
unit,UNIT_CRAWLER,Crawler,cradle,,
unit,UNIT_CROSSBOWMAN,Crossbowman,cradle,,
unit,UNIT_CRUISE_MISSILE,Cruise Missile,cradle,yes,era: AGE_SEVEN (via GUIDED_WEAPON_SYSTEMS)
unit,UNIT_CYBER_ATTORNEY,Cyber Attorney,cradle,yes,era: AGE_EIGHT (via DIGITAL_ENCRYPTION)
unit,UNIT_CYBER_NINJA,Cyber Ninja,cradle,yes,era: AGE_EIGHT (via NEURAL_INTERFACE)
unit,UNIT_DINOSAUR,Dinosaur,cradle,,
unit,UNIT_DIPLOMAT,Diplomat,cradle,,
unit,UNIT_DREADNAUGHT,Dreadnaught,cradle,yes,era: AGE_NINE (via SMART_MATERIALS)
unit,UNIT_DROMON,Dromon,cradle,,
unit,UNIT_EARLY_GALLEY,Early Galley,cradle,,
unit,UNIT_ECO_RANGER,Eco-Ranger,cradle,yes,era: AGE_NINE (via ECOTOPIA)
unit,UNIT_ECO_TERRORIST,Eco-Terrorist,cradle,yes,era: AGE_NINE (via ECOTOPIA)
unit,UNIT_WAR_ELEPHANT,War Elephant,cradle,,
unit,UNIT_EMISSARY,Emissary,cradle,,
unit,UNIT_EMPATHIC_DIPLOMAT,Empathic Diplomat,cradle,,
unit,UNIT_FASCIST,Fascist,cradle,yes,era: AGE_FIVE (via FASCISM)
unit,UNIT_SUBCHASER,Subchaser,cradle,yes,era: AGE_SIX (via MASS_PRODUCTION)
unit,UNIT_FUSION_TANK,Fusion Tank,cradle,yes,era: AGE_NINE (via FUSION)
unit,UNIT_GREAT_GENERAL,Great General,cradle,,
unit,UNIT_GREAT_KING,Great King,cradle,,
unit,UNIT_HALBERDIER,Halberdier,cradle,,
unit,UNIT_ELITE_HALBERDIER,Elite Halberdier,cradle,,
unit,UNIT_HEAVY_TANK,Heavy Tank,cradle,yes,modern armor
unit,UNIT_HERO,Hero,cradle,,
unit,UNIT_HIRED_THUG,Hired Thug,cradle,,
unit,UNIT_HOPLITE,Hoplite,cradle,,
unit,UNIT_ELITE_HOPLITE,Elite Hoplite,cradle,,
unit,UNIT_HOPLITE_MILITIA,Hoplite Militia,cradle,,
unit,UNIT_HORSEMAN,Horseman,cradle,,
unit,UNIT_HOVER_INFANTRY,Hover Infantry,cradle,yes,era: AGE_EIGHT (via CHAOS_THEORY)
unit,UNIT_ELITE_HOVER_INFANTRY,Elite Hover Infantry,cradle,,
unit,UNIT_HOVER_INFANTRY_MILITIA,Hover Infantry Militia,cradle,,
unit,UNIT_HYPASPISTS,Hypaspists,cradle,,
unit,UNIT_ELITE_HYPASPIST,Elite Hypaspist,cradle,,
unit,UNIT_INFANTRYMAN,Infantryman,cradle,,
unit,UNIT_ELITE_INFANTRY,Elite Infantry,cradle,,
unit,UNIT_INFANTRYMAN_MILITIA,Infantryman Militia,cradle,,
unit,UNIT_INFECTOR,Infector,cradle,,
unit,UNIT_INTERCEPTOR,Interceptor,cradle,yes,era: AGE_SEVEN (via SUPERSONIC_FLIGHT)
unit,UNIT_JANISSARY,Janissary,cradle,,
unit,UNIT_JAVELIN_CAVALRY,Javelin Cavalry,cradle,,
unit,UNIT_KINGS_EYE,King's Eye,cradle,,
unit,UNIT_KNIGHT,Knight,cradle,,
unit,UNIT_LAWYER,Lawyer,cradle,yes,era: AGE_SIX (via CRIMINAL_CODE)
unit,UNIT_LEGAL_TEAM,Legal Team,cradle,,
unit,UNIT_ELITE_LEGION,Elite Legion,cradle,,
unit,UNIT_LEGION_MILITIA,Legion Militia,cradle,,
unit,UNIT_LEVIATHAN,Leviathan,cradle,yes,era: AGE_NINE (via UNIFIED_PHYSICS)
unit,UNIT_LONGSHIP,Longship,cradle,,
unit,UNIT_MACHINE_GUNNER,Machine Gunner,cradle,yes,era: AGE_SIX (via MASS_PRODUCTION)
unit,UNIT_ELITE_MACHINE_GUNNER,Elite Machine Gunner,cradle,yes,firearms
unit,UNIT_MACHINE_GUNNER_MILITIA,Machine Gunner Militia,cradle,yes,firearms
unit,UNIT_MAN_AT_ARMS,Man at Arms,cradle,,
unit,UNIT_ELITE_MAN_AT_ARMS,Elite Man at Arms,cradle,,
unit,UNIT_MARINE,Marine,cradle,yes,era: AGE_SIX (via ADV_INFANTRY_TACTICS)
unit,UNIT_ELITE_MARINE,Elite Marine,cradle,,
unit,UNIT_MERCHANT_TRADER,Merchant Trader,cradle,,
unit,UNIT_MOBILE_ARTILLERY,Mobile Artillery,cradle,yes,modern artillery
unit,UNIT_MOBILE_SAM,Mobile SAM,cradle,yes,era: AGE_SIX (via RADAR)
unit,UNIT_MORAY_STRIKER,Moray Striker,cradle,yes,era: AGE_EIGHT (via GENETICS)
unit,UNIT_MOUNTED_ARCHER,Mounted Archer,cradle,,
unit,UNIT_NUCLEAR_SUBMARINE,Nuclear Submarine,cradle,yes,era: AGE_SEVEN (via NUCLEAR_POWER)
unit,UNIT_NUKE,Nuke,cradle,yes,era: AGE_SEVEN (via NUCLEAR_POWER)
unit,UNIT_SEA_COLONY,Sea Colony,cradle,,
unit,UNIT_ONAGER,Onager,cradle,,
unit,UNIT_ORGANIZER,Organizer,cradle,,
unit,UNIT_PARATROOPER,Paratrooper,cradle,yes,era: AGE_SIX (via ADV_INFANTRY_TACTICS)
unit,UNIT_PATRIARCH,Patriarch,cradle,,
unit,UNIT_PEZHETAIROI,Pezhetairoi,cradle,,
unit,UNIT_ELITE_PIKEMAN,Elite Pikeman,cradle,,
unit,UNIT_PIKEMAN_MILITIA,Pikeman Militia,cradle,,
unit,UNIT_PLASMA_DESTROYER,Plasma Destroyer,cradle,yes,era: AGE_NINE (via PLASMA_WEAPONRY)
unit,UNIT_PLUNDER_I,Plunder I,cradle,,
unit,UNIT_PLUNDER_II___CAPTIVES,Plunder II - Captives,cradle,,
unit,UNIT_PLUNDER_III,Plunder III,cradle,,
unit,UNIT_PLUNDER_IV,Plunder IV,cradle,,
unit,UNIT_PRAETORIAN,Praetorian,cradle,,
unit,UNIT_PROPHET,Prophet,cradle,,
unit,UNIT_QUINQUEREME,Quinquereme,cradle,,
unit,UNIT_RAIDER,Raider,cradle,,
unit,UNIT_RED_GUARD,Red Guard,cradle,yes,era: AGE_FIVE (via COMMUNISM)
unit,UNIT_REED_BOAT,Reed Boat,cradle,,
unit,UNIT_SCOUT,Scout,cradle,yes,era: AGE_FIVE (via INDUSTRIAL_REVOLUTION)
unit,UNIT_SCOUT_SUB,Scout Sub,cradle,,
unit,UNIT_SEA_ENGINEER,Sea Engineer,cradle,yes,era: AGE_EIGHT (via NANO_ASSEMBLY)
unit,UNIT_SECRET_AGENT,Secret Agent,cradle,yes,era: AGE_FIVE (via COMMUNISM)
unit,UNIT_SETTLERCOLONIST,Settler/Colonist,cradle,,
unit,UNIT_SHIP_OF_THE_LINE,Ship of the Line,cradle,,
unit,UNIT_SLAVER,Slaver,cradle,,
unit,UNIT_SLAVE_TRADER,Slave Trader,cradle,,
unit,UNIT_SLINGER,Slinger,cradle,,
unit,UNIT_SPACE_COLONY,Space Colony,cradle,yes,sci-fi
unit,UNIT_SPACE_PLANE,Space Plane,cradle,yes,era: AGE_EIGHT (via SPACE_FLIGHT)
unit,UNIT_SPEARMAN,Spearman,cradle,,
unit,UNIT_ELITE_SPEARMAN,Elite Spearman,cradle,,
unit,UNIT_SPEARMAN_MILITIA,Spearman Militia,cradle,,
unit,UNIT_SPY_PLANE,Spy Plane,cradle,yes,era: AGE_EIGHT (via AI_SURVEILLANCE)
unit,UNIT_STEALTH_BOMBER,Stealth Bomber,cradle,yes,era: AGE_SEVEN (via ADVANCED_COMPOSITES)
unit,UNIT_STEALTH_FIGHTER,Stealth Fighter,cradle,yes,era: AGE_SEVEN (via ADVANCED_COMPOSITES)
unit,UNIT_STEAMSHIP,Steamship,cradle,yes,era: AGE_FIVE (via INDUSTRIAL_REVOLUTION)
unit,UNIT_SUBNEURAL_AD,Subneural Ad,cradle,yes,era: AGE_EIGHT (via NEURAL_INTERFACE)
unit,UNIT_TANK,Tank,cradle,yes,era: AGE_SIX (via TANK_WARFARE)
unit,UNIT_TELEVANGELIST,Televangelist,cradle,yes,era: AGE_SIX (via MASS_MEDIA)
unit,UNIT_TEUTONIC_KNIGHT,Teutonic Knight,cradle,,
unit,UNIT_TREBUCHET,Trebuchet,cradle,,
unit,UNIT_TROOP_SHIP,Troop Ship,cradle,yes,era: AGE_SIX (via INTERNAL_COMBUSTION)
unit,UNIT_URBAN_PLANNER,Urban Planner,cradle,yes,era: AGE_SIX (via ADV_URBAN_PLANNING)
unit,UNIT_WAR_WALKER,War Walker,cradle,yes,era: AGE_NINE (via CYBERNETICS)
unit,UNIT_FREIGHT_TRANSPORT,Freight Transport,cradle,yes,era: AGE_SEVEN (via GLOBAL_ECONOMICS)
unit,UNIT_ALEXANDER_THE_GREAT,Alexander the Great,cradle,,
unit,UNIT_GENGHIS,Genghis,cradle,,
unit,UNIT_SARGON,Sargon,cradle,,
unit,UNIT_HANNIBAL,Hannibal,cradle,,
unit,UNIT_CAESAR,Caesar,cradle,,
unit,UNIT_ATTILA,Attila,cradle,,
unit,UNIT_SALADIN,Saladin,cradle,,
unit,UNIT_CHARLEMAGNE,Charlemagne,cradle,,
unit,UNIT_HERNAN_CORTES,Hernan Cortes,cradle,,
unit,UNIT_ULYSSES_GRANT,Ulysses Grant,cradle,,
unit,UNIT_GILGAMESH,Gilgamesh,cradle,,
unit,UNIT_FIELD_MARSHALL,Field Marshall,cradle,,
unit,UNIT_GENERAL,General,cradle,,
unit,UNIT_DWIGHT_EISENHOWER,Dwight Eisenhower,cradle,yes,era leak: modern figure
unit,UNIT_NORMAN_SCHWARZKOPF,Norman Schwarzkopf,cradle,,
unit,UNIT_DAVID,David,cradle,,
unit,UNIT_HAMMURABI,Hammurabi,cradle,,
unit,UNIT_KHALID_IBN_AL_WALID,Khalid ibn al-Walid,cradle,,
unit,UNIT_KHUFU,Khufu,cradle,,
unit,UNIT_LEONIDAS,Leonidas,cradle,,
unit,UNIT_MARIUS,Marius,cradle,,
unit,UNIT_NEBUCHADNEZZAR,Nebuchadnezzar,cradle,,
unit,UNIT_PACAL,Pacal,cradle,,
unit,UNIT_RAMESSES,Ramesses,cradle,,
unit,UNIT_SPARTACUS,Spartacus,cradle,,
unit,UNIT_SUN_TZU,Sun Tzu,cradle,,
unit,UNIT_MONITOR,Monitor,cradle,yes,era: AGE_FIVE (via INDUSTRIAL_REVOLUTION)
unit,UNIT_MAN_AT_ARMS_MILITIA,Man At Arms Militia,aom,,
unit,UNIT_ADVANCED_WARRIOR,Advanced Warrior,aom,,
unit,UNIT_AT_GUN,At Gun,aom,,
unit,UNIT_ATTACK_HELICOPTER,Attack Helicopter,aom,yes,era: AGE_SIX (via VERTICAL_FLIGHT_AIRCRAFT)
unit,UNIT_AUXILLIARY_LEGION,Auxilliary Legion,aom,,
unit,UNIT_BELFROI,Belfroi,aom,,
unit,UNIT_BIPLANE,Biplane,aom,yes,era leak: modern aircraft
unit,UNIT_CARRACK,Carrack,aom,,
unit,UNIT_CHARIOT_ARCHER,Chariot Archer,aom,,
unit,UNIT_COLLOSUS,Collosus,aom,yes,era: AGE_NINE (via SMART_MATERIALS)
unit,UNIT_COMMUNIST,Communist,aom,yes,era: AGE_FIVE (via COMMUNISM)
unit,UNIT_CONSCRIPT_LEGION,Conscript Legion,aom,,
unit,UNIT_CONSCRIPT_SWORDSMAN,Conscript Swordsman,aom,,
unit,UNIT_CORACLE,Coracle,aom,,
unit,UNIT_DIVE_BOMBER,Dive Bomber,aom,yes,era: AGE_SIX (via AERODYNAMICS)
unit,UNIT_EAGLE_ARCHER,Eagle Archer,aom,,
unit,UNIT_EAGLE_WARRIOR,Eagle Warrior,aom,,
unit,UNIT_ELEPHANT_WARRIOR,Elephant Warrior,aom,,
unit,UNIT_FEUDAL_CAVALRY,Feudal Cavalry,aom,,
unit,UNIT_FEUDAL_INFANTRY,Feudal Infantry,aom,,
unit,UNIT_FLYING_FORTRESS,Flying Fortress,aom,yes,era leak: modern aircraft
unit,UNIT_PT_BOAT,PT Boat,aom,yes,era: AGE_SIX (via MASS_PRODUCTION)
unit,UNIT_HEAVY_SPEARMAN,Heavy Spearman,aom,,
unit,UNIT_HEAVY_SWORDSMAN,Heavy Swordsman,aom,,
unit,UNIT_HEPTIREME,Heptireme,aom,,
unit,UNIT_HUN_RAIDER,Hun Raider,aom,,
unit,UNIT_ILYUSHIN,Ilyushin,aom,yes,era: AGE_FIVE (via COMMUNISM)
unit,UNIT_IMPERIAL_ENVOY,Imperial Envoy,aom,,
unit,UNIT_JAVELINEER,Javelineer,aom,,
unit,UNIT_KNIGHT_TEMPLAR,Knight Templar,aom,,
unit,UNIT_LONGBOW,Longbow,aom,,
unit,UNIT_MAMELUKE,Mameluke,aom,,
unit,UNIT_MECHANISED_INFANTRY,Mechanised Infantry,aom,,
unit,UNIT_MEDIEVAL_INFANTRY,Medieval Infantry,aom,,
unit,UNIT_MESERSCHMIT,Meserschmit,aom,yes,era: AGE_FIVE (via FASCISM)
unit,UNIT_MIGRANT,Migrant,aom,,
