unit,source,kind,archive_path
Merguards,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/NagaSentinel-LG.pcx
Eaglemen,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Thunderbird-Large.pcx
Berserkers,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/CragHack-Lg.pcx
I. Horsemen,midgard,,
Elf Riders,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/GreyPegasusLarge.pcx
Night Riders,midgard,flc,COMM3/Art/Units/Warg_Rider/WargDefault.flc
Rangers,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/WaywatcherLarge1.pcx
Golden Horde,midgard,,
Giant Otterine,midgard,,
Crag Wolves,midgard,flc,COMM3/Art/Units/Warg_Rider/WargDefault.flc
Ice Drake,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/CrystalDragon-Lg.pcx
Treefolk,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/TreemanLarge2.pcx
Siege Engine,midgard,flc,COMM3/Art/Units/CatapultAdv/CatapultDefault.flc
Bombard,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Ballista-Lg.pcx
Great Bats,midgard,,
Witches,midgard,flc,COMM3/Art/Units/Charna/Run.flc
Great Wizard,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Archmage-Large.pcx
Ellida,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/GalleonLarge.pcx
Skidbladnir,midgard,flc,COMM3/Art/Units/ShipoftheLine/SOTLDefault.flc
Longboat,midgard,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Dragon Boat,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/PirateFrigateLarge.pcx
Old Man,midgard,,
Shield Boat,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/HeavyFrigateLarge.pcx
Unspeakable Horror,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/BeholderLarge.pcx
Ench. Paladins,midgard,flc,COMM3/Art/Units/Unicorn_Knight/Default.flc
Changeling,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Familiar-Large.pcx
Ench. Giant,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Giant-LG.pcx
Ench. Ogre,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/OgreMage-Lg.pcx
Great Eagles,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Roc-Large.pcx
Fell Wraith,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/GreaterShadow-Large.pcx
Tree Guards,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/TreemanLarge2.pcx
Fireball,midgard,,
Envoy,midgard,,
Spy,midgard,,
Triton Legion,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Naga-Large.pcx
Jack O'Lantern,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Imp-Brown-Large.pcx
Skeletons,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Skeleton-Large.pcx
Barrow Wights,midgard,flc,COMM3/Art/Units/Shadow2-Wight-Brown/Default.flc
Porpoise Pod,midgard,,
Baba Yaga,midgard,flc,COMM3/Art/Units/Charna/Run.flc
Frost Giant,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/IceGolem-Large.pcx
Giant Spider,midgard,,
Kraken,midgard,,
Dragon,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/AzureDragon1-Lg.pcx
Jormungand's Spit,midgard,,
Necromancer,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/LichePriestLarge.pcx
Engineers,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/HGWorkerLarge.pcx
Light Infantry,crusades,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Archers,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/Archer_LG.pcx
Legion,crusades,flc,COMM3/Art/Units/LegionArms/LegionArms.flc
Heavy Infantry,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/ItalianFootKnightLarge.pcx
Fanatics,crusades,flc,COMM3/Art/Units/NGFanatic/NGFanaticDefault.flc
Partisans,crusades,,
Mamluks,crusades,,
Heavy Cavalry,crusades,flc,COMM3/Art/Units/Unicorn_Knight/Default.flc
Varang. Guard,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/SilverhelmLarge.pcx
Crusaders,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/Zealot-Large.pcx
Ascaris,crusades,,
Turcopoles,crusades,,
Trireme,crusades,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Caravel,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/GalleonLarge.pcx
Galleon,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/GalleonLarge.pcx
Frigate,crusades,flc,COMM3/Art/Units/HeavyFrigate/HeavyFrigateDefault.flc
Ironclad,crusades,flc,COMM3/Art/Units/ShipoftheLine/SOTLDefault.flc
Transport,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/HeavyFrigateLarge.pcx
Explorer,crusades,,
Assassin,crusades,flc,COMM3/Art/Units/DarkElfAssassin/DarkElfAssassinDefault.flc
Knights Templar,crusades,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Knights Hosp.,crusades,pedia,COMM3/Art/Civilopedia/Icons/Units/ItalianFootKnightLarge.pcx
Hurricane,cradle,,
Abolitionist,cradle,,
Ambassador,cradle,,
Arquebusier,cradle,,
Elite Arquebusier,cradle,,
Ballista,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/Ballista-Lg.pcx
Berzerker,cradle,,
Bireme,cradle,,
Brigadier,cradle,,
Camel,cradle,,
Cataphract,cradle,,
Chariot,cradle,,
Cleric,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/Monk-Large.pcx
Club Warrior,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/06warriorlarge.pcx
Elite Club Warrior,cradle,,
Cog,cradle,,
Colonel,cradle,,
Composite Archer,cradle,,
Crawler,cradle,,
Crossbowman,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/GermanCrossbow-Large.pcx
Dinosaur,cradle,,
Diplomat,cradle,,
Dromon,cradle,,
Early Galley,cradle,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
War Elephant,cradle,,
Emissary,cradle,,
Empathic Diplomat,cradle,,
Great General,cradle,,
Great King,cradle,,
Halberdier,cradle,,
Elite Halberdier,cradle,,
Hero,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/Hero-LG.pcx
Hired Thug,cradle,,
Hoplite,cradle,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Elite Hoplite,cradle,,
Hoplite Militia,cradle,,
Horseman,cradle,,
Elite Hover Infantry,cradle,,
Hover Infantry Militia,cradle,,
Hypaspists,cradle,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Elite Hypaspist,cradle,,
Infantryman,cradle,,
Elite Infantry,cradle,,
Infantryman Militia,cradle,,
Infector,cradle,,
Janissary,cradle,,
Javelin Cavalry,cradle,,
King's Eye,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/EyeOfTheMagi-Large.pcx
Knight,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/BlackKnight-LG.pcx
Legal Team,cradle,,
Elite Legion,cradle,,
Legion Militia,cradle,,
Longship,cradle,,
Man at Arms,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/ItalianFootKnightLarge.pcx
Elite Man at Arms,cradle,,
Elite Marine,cradle,,
Merchant Trader,cradle,,
Mounted Archer,cradle,,
Onager,cradle,,
Organizer,cradle,,
Patriarch,cradle,,
Pezhetairoi,cradle,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Elite Pikeman,cradle,,
Pikeman Militia,cradle,,
Plunder I,cradle,,
Plunder II - Captives,cradle,,
Plunder III,cradle,,
Plunder IV,cradle,,
Praetorian,cradle,,
Prophet,cradle,pedia,COMM3/Art/Civilopedia/Icons/Units/Monk-Large.pcx
Quinquereme,cradle,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Raider,cradle,,
Reed Boat,cradle,,
Scout Sub,cradle,,
Settler/Colonist,cradle,,
Ship of the Line,cradle,flc,COMM3/Art/Units/ShipoftheLine/SOTLDefault.flc
Slaver,cradle,,
Slave Trader,cradle,,
Slinger,cradle,,
Spearman,cradle,flc,COMM3/Art/Units/GoblinSpearman/goblinspearmandefault.flc
Elite Spearman,cradle,,
Spearman Militia,cradle,,
Teutonic Knight,cradle,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Trebuchet,cradle,,
Alexander the Great,cradle,,
Genghis,cradle,,
Sargon,cradle,,
Hannibal,cradle,,
Caesar,cradle,,
Attila,cradle,,
Saladin,cradle,,
Charlemagne,cradle,,
Hernan Cortes,cradle,,
Ulysses Grant,cradle,,
Gilgamesh,cradle,,
Field Marshall,cradle,,
General,cradle,,
Norman Schwarzkopf,cradle,,
David,cradle,,
Hammurabi,cradle,,
Khalid ibn al-Walid,cradle,,
Khufu,cradle,,
Leonidas,cradle,,
Marius,cradle,,
Nebuchadnezzar,cradle,,
Pacal,cradle,,
Ramesses,cradle,,
Spartacus,cradle,,
Sun Tzu,cradle,,
Man At Arms Militia,aom,,
Advanced Warrior,aom,,
At Gun,aom,,
Auxilliary Legion,aom,,
Belfroi,aom,flc,COMM3/Art/Units/CatapultAdv/CatapultDefault.flc
Carrack,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/CarrackLarge.pcx
Chariot Archer,aom,,
Conscript Legion,aom,,
Conscript Swordsman,aom,,
Coracle,aom,,
Eagle Archer,aom,,
Eagle Warrior,aom,,
Elephant Warrior,aom,,
Feudal Cavalry,aom,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Feudal Infantry,aom,,
Heavy Spearman,aom,,
Heavy Swordsman,aom,,
Heptireme,aom,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Hun Raider,aom,,
Imperial Envoy,aom,,
Javelineer,aom,,
Knight Templar,aom,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Longbow,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/Archer_LG.pcx
Mameluke,aom,,
Mechanised Infantry,aom,,
Medieval Infantry,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/ItalianFootKnightLarge.pcx
Migrant,aom,,
Pezheteroi,aom,,
Phalanx,aom,,
Pikemen,aom,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Peltast,aom,,
Praetorians,aom,,
Princess,aom,,
Saphia,aom,,
Samurai,aom,,
Slavemaster,aom,,
Supply Train,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/Wagon-Large.pcx
Tiger,aom,,
Warrior,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/WarriorsTomb-LG.pcx
Baron,aom,,
Marshall,aom,,
Tribal Leader,aom,,
Tarkan,aom,,
Keshik,aom,,
Ramses,aom,,
Nebuchadnezzer,aom,,
Charlemange,aom,,
Gustavas Adolphus,aom,,
William Pitt,aom,,
Napoleon,aom,,
Tokugawa,aom,,
Heraclius,aom,,
Barbarossa,aom,,
Montezuma,aom,,
William The Conqueror,aom,,
Genghis Khan,aom,,
Soliman The Magnificent,aom,,
Tuthmosis Iii,aom,,
Epaminondas,aom,,
Vercingetorix,aom,,
Scipio Africanus,aom,,
Belisarius,aom,,
Leiv Erikson,aom,,
Wu Ti,aom,,
Charles Martel,aom,,
El Cid,aom,,
Bohemund,aom,,
De La Valette,aom,,
Richard The Lionheart,aom,,
Alp Arslan,aom,,
Jan Ziska,aom,,
Gonsalvo,aom,,
Marlborough,aom,,
Wellington,aom,,
Davout,aom,,
Davey Crocket,aom,,
Oyama,aom,,
Ludendorf,aom,,
Rommel,aom,,
Patton,aom,,
Macarthur,aom,,
Moshe Dayan,aom,,
King,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/MinotaurKing-LG.pcx
Town Watch,aom,,
Elite Advanced Warrior,aom,,
Elite Heavy Swordsman,aom,,
Elite Phalanx,aom,,
Elite Peltast,aom,,
Elite Auxilliary Legion,aom,,
Elite Javelin Cavalry,aom,,
Elite Chariot,aom,,
Elite Chariot Archer,aom,,
Elite Archer,aom,,
Elite Composite Archer,aom,,
Elite Galley,aom,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Elite Trireme,aom,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Elite Horseman,aom,,
Elite Heavy Cavalry,aom,flc,COMM3/Art/Units/Unicorn_Knight/Default.flc
Elite Catapult,aom,,
Elite Cataphract,aom,,
Elite Belfroi,aom,flc,COMM3/Art/Units/CatapultAdv/CatapultDefault.flc
Elite Trebuchet,aom,,
Elite Knight,aom,,
Elite Pikemen,aom,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Elite Crossbowman,aom,,
Elite Praetorians,aom,,
Elite Elephant Warrior,aom,,
Elite Janissary,aom,,
Elite Teutonic Knight,aom,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Elite Heptireme,aom,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Elite Dromon,aom,,
Elite Hypaspists,aom,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Elite Pezheteroi,aom,,
Elite Feudal Infantry,aom,,
Elite Longbow,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/Archer_LG.pcx
Elite Feudal Cavalry,aom,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Elite Medieval Infantry,aom,pedia,COMM3/Art/Civilopedia/Icons/Units/ItalianFootKnightLarge.pcx
Elite Knight Templar,aom,,
Elite Eagle Archer,aom,,
Elite Eagle Warrior,aom,,
Elite Mameluke,aom,,
Elite Saphia,aom,,
Elite Samurai,aom,,
Elite Onager,aom,,
Elite Cavalry,aom,,
Elite Infantryman,aom,,
Elite Mechanised Infantry,aom,,
Column Builder,aom,,
Arch Builder,aom,,
Fortress Builder,aom,,
Science Builder,aom,,
Peace Builder,aom,,
Assault,aom,,
Fishing Fleet,aom,,
Ocean Fishing Fleet,aom,,
Fire Trireme,aom,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
H Angmar,lotr,,
Angmar H1,lotr,,
Angmar H2,lotr,,
Angmar H3,lotr,,
Angmar H4,lotr,,
H Arnor,lotr,,
Arnor H1,lotr,,
Arnor H2,lotr,,
Arnor H3,lotr,,
Arnor H4,lotr,,
H Dwarves,lotr,,
Dwarves H1,lotr,,
Dwarves H2,lotr,,
Dwarves H3,lotr,,
Dwarves H4,lotr,,
H Easterling,lotr,,
Easterling H1,lotr,,
Easterling H2,lotr,,
Easterling H3,lotr,,
H Gondor,lotr,,
Gondor H1,lotr,,
Gondor H2,lotr,,
Gondor H3,lotr,,
Gondor H4,lotr,,
Gondor H5,lotr,,
Gondor H6,lotr,,
H Haradrim,lotr,,
Haradrim H1,lotr,,
Haradrim H2,lotr,,
Haradrim H3,lotr,,
H Hobbits,lotr,flc,COMM3/Art/Units/Hobbit_Farmhand/Default.flc
Hobbits H1,lotr,flc,COMM3/Art/Units/Hobbit_Farmhand/Default.flc
Hobbits H2,lotr,flc,COMM3/Art/Units/Hobbit_Farmhand/Default.flc
Hobbits H3,lotr,flc,COMM3/Art/Units/Hobbit_Farmhand/Default.flc
H Isengard,lotr,,
H Mordor,lotr,,
Mordor H1,lotr,,
Mordor H2,lotr,,
Mordor H3,lotr,,
Mordor H4,lotr,,
Mordor H5,lotr,,
Mordor H6,lotr,,
Mordor H7,lotr,,
H Northmen,lotr,,
H Rohan,lotr,,
Rohan H1,lotr,,
Rohan H2,lotr,,
Rohan H3,lotr,,
Rohan H4,lotr,,
Rohan H5,lotr,,
H Sindar,lotr,,
Sindar H1,lotr,,
Sindar H2,lotr,,
Sindar H2A,lotr,,
Sindar H3,lotr,,
Sindar H4,lotr,,
Palantir I,lotr,,
Palantir Ii,lotr,,
Palantir Iii,lotr,,
Palantir Iv,lotr,,
Gandalf I,lotr,,
Gandalf Ii,lotr,,
Balrog,lotr,,
Smaug,lotr,,
Storm,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/StormElemental_Lg.pcx
Fumes,lotr,,
Watcher,lotr,,
Javelin Cavalry Orcs,lotr,flc,COMM3/Art/Units/Warg_Rider/WargDefault.flc
Javelin Cavalry Rohan,lotr,,
Chariot Easterling,lotr,,
Mounted Archer Rohan,lotr,,
Mounted Archer Elves,lotr,,
Horseman Elves,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/SilverPegasusLarge.pcx
Horseman Rohan,lotr,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Murmakil,lotr,,
Spearman Elite,lotr,,
Spearman Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/GoblinSpearmanLarge.pcx
Warrior Elite,lotr,,
Warrior Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/Orc-Large.pcx
Hoplite Elite,lotr,,
Hoplite Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/GoblinSpearmanLarge.pcx
Hypaspists Elite,lotr,,
Hypaspists Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/GoblinSpearmanLarge.pcx
Legion Elite,lotr,,
Legion Isengard,lotr,,
Legion Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/HornedGrunt_LG.pcx
Legion Dwarves,lotr,,
Man At Arms Elite,lotr,,
Man At Arms Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/GnollKnightLarge.pcx
Pikemen Elite,lotr,,
Pikemen Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/GoblinSpearmanLarge.pcx
Slinger Orcs,lotr,flc,COMM3/Art/Units/Goblin_Spearman2/GoblinSpearmanDefault.flc
Slinger Elves,lotr,,
Archer Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/Orc-Large.pcx
Archer Elves,lotr,,
Composite Archer Orcs,lotr,pedia,COMM3/Art/Civilopedia/Icons/Units/OrcChieftan-Large.pcx
Composite Archer Elves,lotr,,
Crossbowman Elves,lotr,,
Bireme Haradrim,lotr,,
Plunder,lotr,,
Plunder Ii,lotr,,
Catamaran,lotr,,
