cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack,source
15,Centaurs,0,2,2a,1d,1h,1f,2,Plu,ICON_UNIT_CENTAURS,SPRITE_CENTAURS,SOUND_SELECT1_CENTAURS,SOUND_MOVE_CENTAURS,SOUND_ATTACK_CENTAURS,base
16,Elven Archers,0,1,3a,1d,1h,1f,3,Plu,ICON_UNIT_ELVEN_ARCHERS,SPRITE_ELVEN_ARCHERS,SOUND_SELECT1_ELVEN_ARCHERS,SOUND_MOVE_ELVEN_ARCHERS,SOUND_ATTACK_ELVEN_ARCHERS,base
9,Mage,0,1,3a,1d,1h,1f,4,The,ICON_UNIT_MAGE,SPRITE_MAGE,SOUND_SELECT1_MAGE,SOUND_MOVE_MAGE,SOUND_ATTACK_MAGE,base
10,Wyvern,1,3,8a,4d,2h,2f,12,Met,ICON_UNIT_WYVERN,SPRITE_WYVERN,SOUND_SELECT1_WYVERN,SOUND_MOVE_WYVERN,SOUND_ATTACK_WYVERN,base
6,Knights,0,2,4a,2d,1h,1f,4,Chi,ICON_UNIT_KNIGHTS,SPRITE_KNIGHTS,SOUND_SELECT1_KNIGHTS,SOUND_MOVE_KNIGHTS,SOUND_ATTACK_KNIGHTS,base
7,Paladins,0,2,6a,2d,2h,1f,5,Lab,ICON_UNIT_PALADINS,SPRITE_PALADINS,SOUND_SELECT1_PALADINS,SOUND_MOVE_PALADINS,SOUND_ATTACK_PALADINS,base
11,Unicorn,0,3,3a,6d,2h,1f,6,PT,ICON_UNIT_UNICORN,SPRITE_UNICORN,SOUND_SELECT1_UNICORN,SOUND_MOVE_UNICORN,SOUND_ATTACK_UNICORN,base
12,Iron Golem,0,1,8a,5d,4h,1f,9,NP,ICON_UNIT_IRON_GOLEM,SPRITE_IRON_GOLEM,SOUND_SELECT1_IRON_GOLEM,SOUND_MOVE_IRON_GOLEM,SOUND_ATTACK_IRON_GOLEM,base
5,Catapult,0,1,6a,1d,1h,1f,4,Mat,ICON_UNIT_CATAPULT,SPRITE_CATAPULT,SOUND_SELECT1_CATAPULT,SOUND_MOVE_CATAPULT,SOUND_ATTACK_CATAPULT,base
24,Steam Cannon,0,1,10a,2d,2h,2f,12,X3,ICON_UNIT_STEAM_CANNON,SPRITE_STEAM_CANNON,SOUND_SELECT1_STEAM_CANNON,SOUND_MOVE_STEAM_CANNON,SOUND_ATTACK_STEAM_CANNON,base
6,B6,0,1,5a,4d,4h,1f,9,no,ICON_UNIT_B6,SPRITE_B6,SOUND_SELECT1_B6,SOUND_MOVE_B6,SOUND_ATTACK_B6,base
3,B3,0,1,5a,4d,4h,1f,9,no,ICON_UNIT_B3,SPRITE_B3,SOUND_SELECT1_B3,SOUND_MOVE_B3,SOUND_ATTACK_B3,base
9,B9,0,1,5a,4d,4h,1f,9,no,ICON_UNIT_B9,SPRITE_B9,SOUND_SELECT1_B9,SOUND_MOVE_B9,SOUND_ATTACK_B9,base
13,Efreet,0,1,7a,3d,2h,2f,9,Met,ICON_UNIT_EFREET,SPRITE_EFREET,SOUND_SELECT1_EFREET,SOUND_MOVE_EFREET,SOUND_ATTACK_EFREET,base
14,Wraith,0,2,4a,3d,2h,1f,6,Rob,ICON_UNIT_WRAITH,SPRITE_WRAITH,SOUND_SELECT1_WRAITH,SOUND_MOVE_WRAITH,SOUND_ATTACK_WRAITH,base
15,Griffin,1,4,4a,4d,2h,1f,6,PT,ICON_UNIT_GRIFFIN,SPRITE_GRIFFIN,SOUND_SELECT1_GRIFFIN,SOUND_MOVE_GRIFFIN,SOUND_ATTACK_GRIFFIN,base
16,Pegasus,1,5,5a,2d,2h,2f,8,PT,ICON_UNIT_PEGASUS,SPRITE_PEGASUS,SOUND_SELECT1_PEGASUS,SOUND_MOVE_PEGASUS,SOUND_ATTACK_PEGASUS,base
17,Galley,2,3,1a,1d,1h,1f,4,Map,ICON_UNIT_GALLEY,SPRITE_GALLEY,SOUND_SELECT1_GALLEY,SOUND_MOVE_GALLEY,SOUND_ATTACK_GALLEY,base
18,Warship,2,4,7a,3d,2h,1f,8,Eng,ICON_UNIT_WARSHIP,SPRITE_WARSHIP,SOUND_SELECT1_WARSHIP,SOUND_MOVE_WARSHIP,SOUND_ATTACK_WARSHIP,base
19,Hydra,0,1,12a,3d,3h,2f,12,Met,ICON_UNIT_HYDRA,SPRITE_HYDRA,SOUND_SELECT1_HYDRA,SOUND_MOVE_HYDRA,SOUND_ATTACK_HYDRA,base
20,Airship,1,6,5a,1d,1h,1f,4,X3,ICON_UNIT_AIRSHIP,SPRITE_AIRSHIP,SOUND_SELECT1_AIRSHIP,SOUND_MOVE_AIRSHIP,SOUND_ATTACK_AIRSHIP,base
21,Minotaur,0,1,1a,2d,2h,1f,3,MP,ICON_UNIT_MINOTAUR,SPRITE_MINOTAUR,SOUND_SELECT1_MINOTAUR,SOUND_MOVE_MINOTAUR,SOUND_ATTACK_MINOTAUR,base
22,War Troll,0,1,7a,5d,3h,1f,7,Med,ICON_UNIT_WAR_TROLL,SPRITE_WAR_TROLL,SOUND_SELECT1_WAR_TROLL,SOUND_MOVE_WAR_TROLL,SOUND_ATTACK_WAR_TROLL,base
23,Gargoyle,1,2,2a,4d,2h,1f,6,Med,ICON_UNIT_GARGOYLE,SPRITE_GARGOYLE,SOUND_SELECT1_GARGOYLE,SOUND_MOVE_GARGOYLE,SOUND_ATTACK_GARGOYLE,base
24,Guardian Spirit,0,2,1a,5d,3h,1f,4,Inv,ICON_UNIT_GUARDIAN_SPIRIT,SPRITE_GUARDIAN_SPIRIT,SOUND_SELECT1_GUARDIAN_SPIRIT,SOUND_MOVE_GUARDIAN_SPIRIT,SOUND_ATTACK_GUARDIAN_SPIRIT,base
25,Cockatrice,1,2,6a,1d,1h,3f,6,PT,ICON_UNIT_COCKATRICE,SPRITE_COCKATRICE,SOUND_SELECT1_COCKATRICE,SOUND_MOVE_COCKATRICE,SOUND_ATTACK_COCKATRICE,base
7,B7,0,1,5a,4d,4h,1f,9,no,ICON_UNIT_B7,SPRITE_B7,SOUND_SELECT1_B7,SOUND_MOVE_B7,SOUND_ATTACK_B7,base
8,B8,0,1,5a,4d,4h,1f,9,no,ICON_UNIT_B8,SPRITE_B8,SOUND_SELECT1_B8,SOUND_MOVE_B8,SOUND_ATTACK_B8,base
26,Salamander,0,2,10a,3d,2h,1f,10,Met,ICON_UNIT_SALAMANDER,SPRITE_SALAMANDER,SOUND_SELECT1_SALAMANDER,SOUND_MOVE_SALAMANDER,SOUND_ATTACK_SALAMANDER,base
27,Infernal Device,1,10,99a,0d,1h,1f,16,Min,ICON_UNIT_INFERNAL_DEVICE,SPRITE_INFERNAL_DEVICE,SOUND_SELECT1_INFERNAL_DEVICE,SOUND_MOVE_INFERNAL_DEVICE,SOUND_ATTACK_INFERNAL_DEVICE,base
28,Minion,0,2,0a,0d,1h,1f,3,Rfg,ICON_UNIT_MINION,SPRITE_MINION,SOUND_SELECT1_MINION,SOUND_MOVE_MINION,SOUND_ATTACK_MINION,base
29,Demon,1,2,4a,5d,2h,1f,7,Med,ICON_UNIT_DEMON,SPRITE_DEMON,SOUND_SELECT1_DEMON,SOUND_MOVE_DEMON,SOUND_ATTACK_DEMON,base
30,Caravan,0,1,0a,1d,1h,1f,5,Tra,ICON_UNIT_CARAVAN,SPRITE_CARAVAN,SOUND_SELECT1_CARAVAN,SOUND_MOVE_CARAVAN,SOUND_ATTACK_CARAVAN,base
5,B5,0,1,5a,4d,4h,1f,9,no,ICON_UNIT_B5,SPRITE_B5,SOUND_SELECT1_B5,SOUND_MOVE_B5,SOUND_ATTACK_B5,base
4,B4,0,1,5a,4d,4h,1f,9,no,ICON_UNIT_B4,SPRITE_B4,SOUND_SELECT1_B4,SOUND_MOVE_B4,SOUND_ATTACK_B4,base
31,War Mammoth,0,2,10a,5d,3h,1f,8,PT,ICON_UNIT_WAR_MAMMOTH,SPRITE_WAR_MAMMOTH,SOUND_SELECT1_WAR_MAMMOTH,SOUND_MOVE_WAR_MAMMOTH,SOUND_ATTACK_WAR_MAMMOTH,base
32,Storm Giant,0,2,8a,4d,2h,1f,9,NP,ICON_UNIT_STORM_GIANT,SPRITE_STORM_GIANT,SOUND_SELECT1_STORM_GIANT,SOUND_MOVE_STORM_GIANT,SOUND_ATTACK_STORM_GIANT,base
33,Air Elemental,1,8,6a,3d,1h,1f,5,X2,ICON_UNIT_AIR_ELEMENTAL,SPRITE_AIR_ELEMENTAL,SOUND_SELECT1_AIR_ELEMENTAL,SOUND_MOVE_AIR_ELEMENTAL,SOUND_ATTACK_AIR_ELEMENTAL,base
34,Storm Drake,1,5,12a,6d,3h,2f,14,NP,ICON_UNIT_STORM_DRAKE,SPRITE_STORM_DRAKE,SOUND_SELECT1_STORM_DRAKE,SOUND_MOVE_STORM_DRAKE,SOUND_ATTACK_STORM_DRAKE,base
35,Warrax,0,2,8a,3d,2h,2f,12,Met,ICON_UNIT_WARRAX,SPRITE_WARRAX,SOUND_SELECT1_WARRAX,SOUND_MOVE_WARRAX,SOUND_ATTACK_WARRAX,base
36,Undead Dragon,1,3,12a,6d,4h,2f,3,SE,ICON_UNIT_UNDEAD_DRAGON,SPRITE_UNDEAD_DRAGON,SOUND_SELECT1_UNDEAD_DRAGON,SOUND_MOVE_UNDEAD_DRAGON,SOUND_ATTACK_UNDEAD_DRAGON,base
37,Great Wyrm,0,2,15a,9d,6h,2f,12,Rad,ICON_UNIT_GREAT_WYRM,SPRITE_GREAT_WYRM,SOUND_SELECT1_GREAT_WYRM,SOUND_MOVE_GREAT_WYRM,SOUND_ATTACK_GREAT_WYRM,base
38,Behemoth,0,1,5a,4d,4h,1f,9,Rad,ICON_UNIT_BEHEMOTH,SPRITE_BEHEMOTH,SOUND_SELECT1_BEHEMOTH,SOUND_MOVE_BEHEMOTH,SOUND_ATTACK_BEHEMOTH,base
39,Malleus,0,2,8a,2d,2h,1f,10,SFl,ICON_UNIT_MALLEUS,SPRITE_MALLEUS,SOUND_SELECT1_MALLEUS,SOUND_MOVE_MALLEUS,SOUND_ATTACK_MALLEUS,base
40,Merfolk,2,4,4a,3d,2h,1f,5,X2,ICON_UNIT_MERFOLK,SPRITE_MERFOLK,SOUND_SELECT1_MERFOLK,SOUND_MOVE_MERFOLK,SOUND_ATTACK_MERFOLK,base
41,Archangel,1,4,12a,12d,2h,2f,12,Las,ICON_UNIT_ARCHANGEL,SPRITE_ARCHANGEL,SOUND_SELECT1_ARCHANGEL,SOUND_MOVE_ARCHANGEL,SOUND_ATTACK_ARCHANGEL,base
42,Settler,0,1,0a,2d,2h,1f,7,nil,ICON_UNIT_SETTLER,SPRITE_SETTLER,SOUND_SELECT1_SETTLER,SOUND_MOVE_SETTLER,SOUND_ATTACK_SETTLER,base
1,Halfling,0,1,1a,1d,1h,2f,1,Plu,ICON_UNIT_HALFLING,SPRITE_HALFLING,SOUND_SELECT1_HALFLING,SOUND_MOVE_HALFLING,SOUND_ATTACK_HALFLING,homm2
4,Peasant,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_PEASANT,SPRITE_PEASANT,SOUND_SELECT1_PEASANT,SOUND_MOVE_PEASANT,SOUND_ATTACK_PEASANT,homm2
5,Water/Air Elementals,0,1,1a,1d,1h,1f,1,The,ICON_UNIT_WATERAIR_ELEMENTALS,SPRITE_WATERAIR_ELEMENTALS,SOUND_SELECT1_WATERAIR_ELEMENTALS,SOUND_MOVE_WATERAIR_ELEMENTALS,SOUND_ATTACK_WATERAIR_ELEMENTALS,homm2
7,Nomad,0,2,2a,1d,1h,1f,2,homm2:ToG,ICON_UNIT_NOMAD,SPRITE_NOMAD,SOUND_SELECT1_NOMAD,SOUND_MOVE_NOMAD,SOUND_ATTACK_NOMAD,homm2
8,Earth/Fire Elementals,0,1,1a,2d,2h,1f,3,MP,ICON_UNIT_EARTHFIRE_ELEMENTALS,SPRITE_EARTHFIRE_ELEMENTALS,SOUND_SELECT1_EARTHFIRE_ELEMENTALS,SOUND_MOVE_EARTHFIRE_ELEMENTALS,SOUND_ATTACK_EARTHFIRE_ELEMENTALS,homm2
9,Ghost,0,1,4a,2d,1h,1f,4,Rfg,ICON_UNIT_GHOST,SPRITE_GHOST,SOUND_SELECT1_GHOST,SOUND_MOVE_GHOST,SOUND_ATTACK_GHOST,homm2
11,Skeleton,0,1,1a,1d,1h,1f,1,Rfg,ICON_UNIT_SKELETON,SPRITE_SKELETON,SOUND_SELECT1_SKELETON,SOUND_MOVE_SKELETON,SOUND_ATTACK_SKELETON,homm2
14,Centaur,0,1,1a,1d,1h,2f,1,Plu,ICON_UNIT_CENTAUR,SPRITE_CENTAUR,SOUND_SELECT1_CENTAUR,SOUND_MOVE_CENTAUR,SOUND_ATTACK_CENTAUR,homm2
15,Medusa,0,1,3a,2d,1h,2f,5,Med,ICON_UNIT_MEDUSA,SPRITE_MEDUSA,SOUND_SELECT1_MEDUSA,SOUND_MOVE_MEDUSA,SOUND_ATTACK_MEDUSA,homm2
16,Faerie Sprite,0,1,1a,1d,1h,1f,1,Plu,ICON_UNIT_FAERIE_SPRITE,SPRITE_FAERIE_SPRITE,SOUND_SELECT1_FAERIE_SPRITE,SOUND_MOVE_FAERIE_SPRITE,SOUND_ATTACK_FAERIE_SPRITE,homm2
17,Goblin,0,1,1a,1d,1h,1f,1,MP,ICON_UNIT_GOBLIN,SPRITE_GOBLIN,SOUND_SELECT1_GOBLIN,SOUND_MOVE_GOBLIN,SOUND_ATTACK_GOBLIN,homm2
18,Dwarf,0,1,2a,1d,2h,1f,2,Plu,ICON_UNIT_DWARF,SPRITE_DWARF,SOUND_SELECT1_DWARF,SOUND_MOVE_DWARF,SOUND_ATTACK_DWARF,homm2
20,Red Dragon,0,1,4a,2d,2h,2f,99,Mob,ICON_UNIT_RED_DRAGON,SPRITE_RED_DRAGON,SOUND_SELECT1_RED_DRAGON,SOUND_MOVE_RED_DRAGON,SOUND_ATTACK_RED_DRAGON,homm2
21,Green Dragon,0,1,3a,2d,1h,2f,99,Mob,ICON_UNIT_GREEN_DRAGON,SPRITE_GREEN_DRAGON,SOUND_SELECT1_GREEN_DRAGON,SOUND_MOVE_GREEN_DRAGON,SOUND_ATTACK_GREEN_DRAGON,homm2
22,Archer,0,1,2a,1d,1h,2f,2,homm2:ToG,ICON_UNIT_ARCHER,SPRITE_ARCHER,SOUND_SELECT1_ARCHER,SOUND_MOVE_ARCHER,SOUND_ATTACK_ARCHER,homm2
23,Siege Catapult,0,1,6a,1d,1h,2f,4,homm2:Ato,ICON_UNIT_SIEGE_CATAPULT,SPRITE_SIEGE_CATAPULT,SOUND_SELECT1_SIEGE_CATAPULT,SOUND_MOVE_SIEGE_CATAPULT,SOUND_ATTACK_SIEGE_CATAPULT,homm2
24,Genie,0,2,6a,3d,2h,2f,7,X2,ICON_UNIT_GENIE,SPRITE_GENIE,SOUND_SELECT1_GENIE,SOUND_MOVE_GENIE,SOUND_ATTACK_GENIE,homm2
25,Orc,0,1,2a,1d,1h,2f,2,MP,ICON_UNIT_ORC,SPRITE_ORC,SOUND_SELECT1_ORC,SOUND_MOVE_ORC,SOUND_ATTACK_ORC,homm2
26,Elf,0,1,1a,2d,1h,2f,3,Plu,ICON_UNIT_ELF,SPRITE_ELF,SOUND_SELECT1_ELF,SOUND_MOVE_ELF,SOUND_ATTACK_ELF,homm2
27,Boar,0,2,2a,1d,1h,1f,2,Plu,ICON_UNIT_BOAR,SPRITE_BOAR,SOUND_SELECT1_BOAR,SOUND_MOVE_BOAR,SOUND_ATTACK_BOAR,homm2
28,Wolf,0,2,1a,2d,1h,1f,3,Plu,ICON_UNIT_WOLF,SPRITE_WOLF,SOUND_SELECT1_WOLF,SOUND_MOVE_WOLF,SOUND_ATTACK_WOLF,homm2
29,Golem,0,1,1a,2d,2h,1f,3,The,ICON_UNIT_GOLEM,SPRITE_GOLEM,SOUND_SELECT1_GOLEM,SOUND_MOVE_GOLEM,SOUND_ATTACK_GOLEM,homm2
31,Pikeman,0,1,1a,2d,2h,1f,3,homm2:Ast,ICON_UNIT_PIKEMAN,SPRITE_PIKEMAN,SOUND_SELECT1_PIKEMAN,SOUND_MOVE_PIKEMAN,SOUND_ATTACK_PIKEMAN,homm2
32,Boat,2,3,2a,1d,1h,1f,4,homm2:Sea,ICON_UNIT_BOAT,SPRITE_BOAT,SOUND_SELECT1_BOAT,SOUND_MOVE_BOAT,SOUND_ATTACK_BOAT,homm2
33,Ship,2,4,4a,2d,2h,2f,5,homm2:NP,ICON_UNIT_SHIP,SPRITE_SHIP,SOUND_SELECT1_SHIP,SOUND_MOVE_SHIP,SOUND_ATTACK_SHIP,homm2
34,Trade Cart,0,2,0a,1d,1h,1f,5,homm2:Tra,ICON_UNIT_TRADE_CART,SPRITE_TRADE_CART,SOUND_SELECT1_TRADE_CART,SOUND_MOVE_TRADE_CART,SOUND_ATTACK_TRADE_CART,homm2
35,Rogue Thief,0,1,0a,0d,1h,1f,3,homm2:Wri,ICON_UNIT_ROGUE_THIEF,SPRITE_ROGUE_THIEF,SOUND_SELECT1_ROGUE_THIEF,SOUND_MOVE_ROGUE_THIEF,SOUND_ATTACK_ROGUE_THIEF,homm2
36,Magic Arrow,1,8,6a,0d,1h,1f,5,homm2:Whe,ICON_UNIT_MAGIC_ARROW,SPRITE_MAGIC_ARROW,SOUND_SELECT1_MAGIC_ARROW,SOUND_MOVE_MAGIC_ARROW,SOUND_ATTACK_MAGIC_ARROW,homm2
37,Lightning Bolt,1,12,8a,0d,1h,1f,6,homm2:Amp,ICON_UNIT_LIGHTNING_BOLT,SPRITE_LIGHTNING_BOLT,SOUND_SELECT1_LIGHTNING_BOLT,SOUND_MOVE_LIGHTNING_BOLT,SOUND_ATTACK_LIGHTNING_BOLT,homm2
38,Armageddon Fire Blast,1,16,99a,0d,1h,1f,16,Min,ICON_UNIT_ARMAGEDDON_FIRE_BLAST,SPRITE_ARMAGEDDON_FIRE_BLAST,SOUND_SELECT1_ARMAGEDDON_FIRE_BLAST,SOUND_MOVE_ARMAGEDDON_FIRE_BLAST,SOUND_ATTACK_ARMAGEDDON_FIRE_BLAST,homm2
42,Ogre,0,1,4a,2d,2h,1f,4,MP,ICON_UNIT_OGRE,SPRITE_OGRE,SOUND_SELECT1_OGRE,SOUND_MOVE_OGRE,SOUND_ATTACK_OGRE,homm2
43,Roc,0,1,4a,2d,1h,1f,4,homm2:Plu,ICON_UNIT_ROC,SPRITE_ROC,SOUND_SELECT1_ROC,SOUND_MOVE_ROC,SOUND_ATTACK_ROC,homm2
45,Swordsman,0,1,4a,2d,1h,1f,4,homm2:Plu,ICON_UNIT_SWORDSMAN,SPRITE_SWORDSMAN,SOUND_SELECT1_SWORDSMAN,SOUND_MOVE_SWORDSMAN,SOUND_ATTACK_SWORDSMAN,homm2
46,Zombie,0,1,2a,1d,2h,1f,2,Rfg,ICON_UNIT_ZOMBIE,SPRITE_ZOMBIE,SOUND_SELECT1_ZOMBIE,SOUND_MOVE_ZOMBIE,SOUND_ATTACK_ZOMBIE,homm2
47,Mummy,0,1,1a,2d,1h,1f,3,Rfg,ICON_UNIT_MUMMY,SPRITE_MUMMY,SOUND_SELECT1_MUMMY,SOUND_MOVE_MUMMY,SOUND_ATTACK_MUMMY,homm2
48,Vampire,0,1,4a,2d,1h,1f,4,Rfg,ICON_UNIT_VAMPIRE,SPRITE_VAMPIRE,SOUND_SELECT1_VAMPIRE,SOUND_MOVE_VAMPIRE,SOUND_ATTACK_VAMPIRE,homm2
49,Druid,0,1,4a,2d,1h,2f,4,homm2:Plu,ICON_UNIT_DRUID,SPRITE_DRUID,SOUND_SELECT1_DRUID,SOUND_MOVE_DRUID,SOUND_ATTACK_DRUID,homm2
50,Troll,0,1,3a,3d,1h,2f,5,Med,ICON_UNIT_TROLL,SPRITE_TROLL,SOUND_SELECT1_TROLL,SOUND_MOVE_TROLL,SOUND_ATTACK_TROLL,homm2
52,Lich,0,1,3a,3d,1h,2f,5,Rob,ICON_UNIT_LICH,SPRITE_LICH,SOUND_SELECT1_LICH,SOUND_MOVE_LICH,SOUND_ATTACK_LICH,homm2
54,Cavalry,0,2,3a,3d,1h,1f,5,homm2:Stl,ICON_UNIT_CAVALRY,SPRITE_CAVALRY,SOUND_SELECT1_CAVALRY,SOUND_MOVE_CAVALRY,SOUND_ATTACK_CAVALRY,homm2
56,Bone Dragon,0,2,6a,3d,2h,2f,8,SE,ICON_UNIT_BONE_DRAGON,SPRITE_BONE_DRAGON,SOUND_SELECT1_BONE_DRAGON,SOUND_MOVE_BONE_DRAGON,SOUND_ATTACK_BONE_DRAGON,homm2
57,Black Dragon,0,2,6a,3d,3h,2f,10,Mob,ICON_UNIT_BLACK_DRAGON,SPRITE_BLACK_DRAGON,SOUND_SELECT1_BLACK_DRAGON,SOUND_MOVE_BLACK_DRAGON,SOUND_ATTACK_BLACK_DRAGON,homm2
58,Crusader,0,2,6a,3d,2h,2f,7,Lab,ICON_UNIT_CRUSADER,SPRITE_CRUSADER,SOUND_SELECT1_CRUSADER,SOUND_MOVE_CRUSADER,SOUND_ATTACK_CRUSADER,homm2
59,Phoenix,0,2,6a,3d,2h,2f,8,homm2:NF,ICON_UNIT_PHOENIX,SPRITE_PHOENIX,SOUND_SELECT1_PHOENIX,SOUND_MOVE_PHOENIX,SOUND_ATTACK_PHOENIX,homm2
60,Cyclops,0,2,6a,3d,2h,2f,7,Med,ICON_UNIT_CYCLOPS,SPRITE_CYCLOPS,SOUND_SELECT1_CYCLOPS,SOUND_MOVE_CYCLOPS,SOUND_ATTACK_CYCLOPS,homm2
61,Titan,0,2,6a,3d,3h,3f,10,homm2:NF,ICON_UNIT_TITAN,SPRITE_TITAN,SOUND_SELECT1_TITAN,SOUND_MOVE_TITAN,SOUND_ATTACK_TITAN,homm2
0,Settlers,0,1,0a,1d,1h,1f,4,nil,ICON_UNIT_SETTLERS,SPRITE_SETTLERS,SOUND_SELECT1_SETTLERS,SOUND_MOVE_SETTLERS,SOUND_ATTACK_SETTLERS,midgard
1,Sorcerer,1,4,6a,3d,1h,2f,4,MP,ICON_UNIT_SORCERER,SPRITE_SORCERER,SOUND_SELECT1_SORCERER,SOUND_MOVE_SORCERER,SOUND_ATTACK_SORCERER,midgard
2,H. Warriors,0,1,1a,1d,1h,1f,1,MP,ICON_UNIT_H_WARRIORS,SPRITE_H_WARRIORS,SOUND_SELECT1_H_WARRIORS,SOUND_MOVE_H_WARRIORS,SOUND_ATTACK_H_WARRIORS,midgard
3,Mermen,0,2,1a,1d,1h,1f,1,The,ICON_UNIT_MERMEN,SPRITE_MERMEN,SOUND_SELECT1_MERMEN,SOUND_MOVE_MERMEN,SOUND_ATTACK_MERMEN,midgard
4,Hawkmen,0,1,1a,1d,1h,1f,1,Plu,ICON_UNIT_HAWKMEN,SPRITE_HAWKMEN,SOUND_SELECT1_HAWKMEN,SOUND_MOVE_HAWKMEN,SOUND_ATTACK_HAWKMEN,midgard
5,Elf Warriors,0,1,1a,1d,1h,2f,2,Plu,ICON_UNIT_ELF_WARRIORS,SPRITE_ELF_WARRIORS,SOUND_SELECT1_ELF_WARRIORS,SOUND_MOVE_ELF_WARRIORS,SOUND_ATTACK_ELF_WARRIORS,midgard
6,Infidels,0,1,2a,1d,1h,1f,1,MP,ICON_UNIT_INFIDELS,SPRITE_INFIDELS,SOUND_SELECT1_INFIDELS,SOUND_MOVE_INFIDELS,SOUND_ATTACK_INFIDELS,midgard
7,Goblins,0,1,1a,1d,1h,1f,1,MP,ICON_UNIT_GOBLINS,SPRITE_GOBLINS,SOUND_SELECT1_GOBLINS,SOUND_MOVE_GOBLINS,SOUND_ATTACK_GOBLINS,midgard
8,Dwarves,0,1,3a,3d,2h,1f,2,Plu,ICON_UNIT_DWARVES,SPRITE_DWARVES,SOUND_SELECT1_DWARVES,SOUND_MOVE_DWARVES,SOUND_ATTACK_DWARVES,midgard
9,Elf Archers,0,1,2a,2d,1h,2f,3,Plu,ICON_UNIT_ELF_ARCHERS,SPRITE_ELF_ARCHERS,SOUND_SELECT1_ELF_ARCHERS,SOUND_MOVE_ELF_ARCHERS,SOUND_ATTACK_ELF_ARCHERS,midgard
