cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
14,Berserkers,0,1,3a,1d,1h,2f,3,Iro,ICON_UNIT_BERSERKERS,SPRITE_BERSERKERS,SOUND_SELECT1_BERSERKERS,SOUND_MOVE_BERSERKERS,SOUND_ATTACK_BERSERKERS
15,I. Horsemen,0,2,5a,2d,1h,2f,4,Chi,ICON_UNIT_I_HORSEMEN,SPRITE_I_HORSEMEN,SOUND_SELECT1_I_HORSEMEN,SOUND_MOVE_I_HORSEMEN,SOUND_ATTACK_I_HORSEMEN
16,Elf Riders,0,2,4a,2d,1h,2f,4,Chi,ICON_UNIT_ELF_RIDERS,SPRITE_ELF_RIDERS,SOUND_SELECT1_ELF_RIDERS,SOUND_MOVE_ELF_RIDERS,SOUND_ATTACK_ELF_RIDERS
17,Night Riders,0,2,4a,2d,2h,1f,4,Chi,ICON_UNIT_NIGHT_RIDERS,SPRITE_NIGHT_RIDERS,SOUND_SELECT1_NIGHT_RIDERS,SOUND_MOVE_NIGHT_RIDERS,SOUND_ATTACK_NIGHT_RIDERS
18,Rangers,0,2,4a,3d,2h,1f,4,Chi,ICON_UNIT_RANGERS,SPRITE_RANGERS,SOUND_SELECT1_RANGERS,SOUND_MOVE_RANGERS,SOUND_ATTACK_RANGERS
19,Golden Horde,0,2,5a,3d,2h,2f,5,Tac,ICON_UNIT_GOLDEN_HORDE,SPRITE_GOLDEN_HORDE,SOUND_SELECT1_GOLDEN_HORDE,SOUND_MOVE_GOLDEN_HORDE,SOUND_ATTACK_GOLDEN_HORDE
20,Giant Otterine,0,2,4a,2d,2h,1f,4,Chi,ICON_UNIT_GIANT_OTTERINE,SPRITE_GIANT_OTTERINE,SOUND_SELECT1_GIANT_OTTERINE,SOUND_MOVE_GIANT_OTTERINE,SOUND_ATTACK_GIANT_OTTERINE
21,Crag Wolves,0,2,4a,2d,1h,1f,3,Feu,ICON_UNIT_CRAG_WOLVES,SPRITE_CRAG_WOLVES,SOUND_SELECT1_CRAG_WOLVES,SOUND_MOVE_CRAG_WOLVES,SOUND_ATTACK_CRAG_WOLVES
22,Ice Drake,0,4,11a,8d,3h,2f,13,Cmn,ICON_UNIT_ICE_DRAKE,SPRITE_ICE_DRAKE,SOUND_SELECT1_ICE_DRAKE,SOUND_MOVE_ICE_DRAKE,SOUND_ATTACK_ICE_DRAKE
23,Treefolk,0,1,5a,10d,3h,1f,8,Cmb,ICON_UNIT_TREEFOLK,SPRITE_TREEFOLK,SOUND_SELECT1_TREEFOLK,SOUND_MOVE_TREEFOLK,SOUND_ATTACK_TREEFOLK
24,Catapult,0,1,6a,1d,1h,1f,4,Mat,ICON_UNIT_CATAPULT,SPRITE_CATAPULT,SOUND_SELECT1_CATAPULT,SOUND_MOVE_CATAPULT,SOUND_ATTACK_CATAPULT
25,Siege Engine,0,1,8a,1d,2h,1f,5,Eng,ICON_UNIT_SIEGE_ENGINE,SPRITE_SIEGE_ENGINE,SOUND_SELECT1_SIEGE_ENGINE,SOUND_MOVE_SIEGE_ENGINE,SOUND_ATTACK_SIEGE_ENGINE
26,Bombard,0,1,8a,1d,2h,2f,6,Exp,ICON_UNIT_BOMBARD,SPRITE_BOMBARD,SOUND_SELECT1_BOMBARD,SOUND_MOVE_BOMBARD,SOUND_ATTACK_BOMBARD
27,Great Bats,1,6,5a,4d,1h,2f,5,Ato,ICON_UNIT_GREAT_BATS,SPRITE_GREAT_BATS,SOUND_SELECT1_GREAT_BATS,SOUND_MOVE_GREAT_BATS,SOUND_ATTACK_GREAT_BATS
28,Witches,1,3,7a,3d,2h,1f,6,Ato,ICON_UNIT_WITCHES,SPRITE_WITCHES,SOUND_SELECT1_WITCHES,SOUND_MOVE_WITCHES,SOUND_ATTACK_WITCHES
29,Great Wizard,1,6,6a,6d,2h,3f,10,Rad,ICON_UNIT_GREAT_WIZARD,SPRITE_GREAT_WIZARD,SOUND_SELECT1_GREAT_WIZARD,SOUND_MOVE_GREAT_WIZARD,SOUND_ATTACK_GREAT_WIZARD
30,Ellida,1,7,10a,3d,2h,2f,10,Fli,ICON_UNIT_ELLIDA,SPRITE_ELLIDA,SOUND_SELECT1_ELLIDA,SOUND_MOVE_ELLIDA,SOUND_ATTACK_ELLIDA
31,Skidbladnir,1,9,7a,4d,2h,2f,9,Fli,ICON_UNIT_SKIDBLADNIR,SPRITE_SKIDBLADNIR,SOUND_SELECT1_SKIDBLADNIR,SOUND_MOVE_SKIDBLADNIR,SOUND_ATTACK_SKIDBLADNIR
32,Longboat,2,3,1a,1d,2h,1f,4,Map,ICON_UNIT_LONGBOAT,SPRITE_LONGBOAT,SOUND_SELECT1_LONGBOAT,SOUND_MOVE_LONGBOAT,SOUND_ATTACK_LONGBOAT
33,Dragon Boat,2,4,3a,2d,2h,1f,4,Mag,ICON_UNIT_DRAGON_BOAT,SPRITE_DRAGON_BOAT,SOUND_SELECT1_DRAGON_BOAT,SOUND_MOVE_DRAGON_BOAT,SOUND_ATTACK_DRAGON_BOAT
34,Old Man,0,2,3a,3d,1h,7f,8,E2,ICON_UNIT_OLD_MAN,SPRITE_OLD_MAN,SOUND_SELECT1_OLD_MAN,SOUND_MOVE_OLD_MAN,SOUND_ATTACK_OLD_MAN
35,Shield Boat,2,5,4a,4d,3h,1f,6,SE,ICON_UNIT_SHIELD_BOAT,SPRITE_SHIELD_BOAT,SOUND_SELECT1_SHIELD_BOAT,SOUND_MOVE_SHIELD_BOAT,SOUND_ATTACK_SHIELD_BOAT
36,Unspeakable Horror,2,4,20a,20d,5h,5f,6,U1,ICON_UNIT_UNSPEAKABLE_HORROR,SPRITE_UNSPEAKABLE_HORROR,SOUND_SELECT1_UNSPEAKABLE_HORROR,SOUND_MOVE_UNSPEAKABLE_HORROR,SOUND_ATTACK_UNSPEAKABLE_HORROR
37,Ench. Paladins,0,1,5a,5d,2h,1f,5,Tac,ICON_UNIT_ENCH_PALADINS,SPRITE_ENCH_PALADINS,SOUND_SELECT1_ENCH_PALADINS,SOUND_MOVE_ENCH_PALADINS,SOUND_ATTACK_ENCH_PALADINS
38,Changeling,0,2,4a,5d,2h,1f,5,Gun,ICON_UNIT_CHANGELING,SPRITE_CHANGELING,SOUND_SELECT1_CHANGELING,SOUND_MOVE_CHANGELING,SOUND_ATTACK_CHANGELING
39,Ench. Giant,0,1,5a,4d,2h,1f,5,Tac,ICON_UNIT_ENCH_GIANT,SPRITE_ENCH_GIANT,SOUND_SELECT1_ENCH_GIANT,SOUND_MOVE_ENCH_GIANT,SOUND_ATTACK_ENCH_GIANT
40,Ench. Ogre,0,1,5a,4d,2h,1f,5,Tac,ICON_UNIT_ENCH_OGRE,SPRITE_ENCH_OGRE,SOUND_SELECT1_ENCH_OGRE,SOUND_MOVE_ENCH_OGRE,SOUND_ATTACK_ENCH_OGRE
41,Great Eagles,1,3,5a,2d,1h,1f,3,Feu,ICON_UNIT_GREAT_EAGLES,SPRITE_GREAT_EAGLES,SOUND_SELECT1_GREAT_EAGLES,SOUND_MOVE_GREAT_EAGLES,SOUND_ATTACK_GREAT_EAGLES
42,Fell Wraith,0,2,5a,4d,2h,1f,5,Gun,ICON_UNIT_FELL_WRAITH,SPRITE_FELL_WRAITH,SOUND_SELECT1_FELL_WRAITH,SOUND_MOVE_FELL_WRAITH,SOUND_ATTACK_FELL_WRAITH
43,Tree Guards,0,0,0a,10d,3h,2f,5,U1,ICON_UNIT_TREE_GUARDS,SPRITE_TREE_GUARDS,SOUND_SELECT1_TREE_GUARDS,SOUND_MOVE_TREE_GUARDS,SOUND_ATTACK_TREE_GUARDS
44,Lightning Bolt,1,12,15a,0d,1h,3f,8,AFl,ICON_UNIT_LIGHTNING_BOLT,SPRITE_LIGHTNING_BOLT,SOUND_SELECT1_LIGHTNING_BOLT,SOUND_MOVE_LIGHTNING_BOLT,SOUND_ATTACK_LIGHTNING_BOLT
45,Fireball,1,16,99a,0d,1h,1f,16,Roc,ICON_UNIT_FIREBALL,SPRITE_FIREBALL,SOUND_SELECT1_FIREBALL,SOUND_MOVE_FIREBALL,SOUND_ATTACK_FIREBALL
46,Envoy,0,2,0a,0d,1h,1f,3,Wri,ICON_UNIT_ENVOY,SPRITE_ENVOY,SOUND_SELECT1_ENVOY,SOUND_MOVE_ENVOY,SOUND_ATTACK_ENVOY
47,Spy,0,3,0a,0d,1h,1f,3,Esp,ICON_UNIT_SPY,SPRITE_SPY,SOUND_SELECT1_SPY,SOUND_MOVE_SPY,SOUND_ATTACK_SPY
48,Caravan,0,1,0a,1d,1h,1f,5,Tra,ICON_UNIT_CARAVAN,SPRITE_CARAVAN,SOUND_SELECT1_CARAVAN,SOUND_MOVE_CARAVAN,SOUND_ATTACK_CARAVAN
49,Triton Legion,0,1,5a,4d,2h,1f,5,Tac,ICON_UNIT_TRITON_LEGION,SPRITE_TRITON_LEGION,SOUND_SELECT1_TRITON_LEGION,SOUND_MOVE_TRITON_LEGION,SOUND_ATTACK_TRITON_LEGION
50,Jack O'Lantern,0,2,1a,2d,1h,1f,3,Sea,ICON_UNIT_JACK_OLANTERN,SPRITE_JACK_OLANTERN,SOUND_SELECT1_JACK_OLANTERN,SOUND_MOVE_JACK_OLANTERN,SOUND_ATTACK_JACK_OLANTERN
51,Skeletons,0,1,1a,1d,2h,1f,2,nil,ICON_UNIT_SKELETONS,SPRITE_SKELETONS,SOUND_SELECT1_SKELETONS,SOUND_MOVE_SKELETONS,SOUND_ATTACK_SKELETONS
52,Barrow Wights,0,1,3a,2d,1h,1f,2,Iro,ICON_UNIT_BARROW_WIGHTS,SPRITE_BARROW_WIGHTS,SOUND_SELECT1_BARROW_WIGHTS,SOUND_MOVE_BARROW_WIGHTS,SOUND_ATTACK_BARROW_WIGHTS
53,Porpoise Pod,2,4,1a,1d,1h,1f,1,nil,ICON_UNIT_PORPOISE_POD,SPRITE_PORPOISE_POD,SOUND_SELECT1_PORPOISE_POD,SOUND_MOVE_PORPOISE_POD,SOUND_ATTACK_PORPOISE_POD
54,Lich,0,1,9a,6d,3h,1f,9,Rad,ICON_UNIT_LICH,SPRITE_LICH,SOUND_SELECT1_LICH,SOUND_MOVE_LICH,SOUND_ATTACK_LICH
55,Baba Yaga,1,3,10a,5d,2h,2f,10,Rad,ICON_UNIT_BABA_YAGA,SPRITE_BABA_YAGA,SOUND_SELECT1_BABA_YAGA,SOUND_MOVE_BABA_YAGA,SOUND_ATTACK_BABA_YAGA
56,Frost Giant,0,2,8a,7d,2h,2f,9,Mob,ICON_UNIT_FROST_GIANT,SPRITE_FROST_GIANT,SOUND_SELECT1_FROST_GIANT,SOUND_MOVE_FROST_GIANT,SOUND_ATTACK_FROST_GIANT
57,Giant Spider,0,1,7a,6d,1h,4f,8,Mob,ICON_UNIT_GIANT_SPIDER,SPRITE_GIANT_SPIDER,SOUND_SELECT1_GIANT_SPIDER,SOUND_MOVE_GIANT_SPIDER,SOUND_ATTACK_GIANT_SPIDER
58,Kraken,2,4,12a,12d,4h,2f,12,Ind,ICON_UNIT_KRAKEN,SPRITE_KRAKEN,SOUND_SELECT1_KRAKEN,SOUND_MOVE_KRAKEN,SOUND_ATTACK_KRAKEN
59,Dragon,1,5,10a,15d,3h,3f,16,U1,ICON_UNIT_DRAGON,SPRITE_DRAGON,SOUND_SELECT1_DRAGON,SOUND_MOVE_DRAGON,SOUND_ATTACK_DRAGON
60,Jormungand's Spit,1,3,2a,1d,1h,8f,18,U1,ICON_UNIT_JORMUNGANDS_SPIT,SPRITE_JORMUNGANDS_SPIT,SOUND_SELECT1_JORMUNGANDS_SPIT,SOUND_MOVE_JORMUNGANDS_SPIT,SOUND_ATTACK_JORMUNGANDS_SPIT
61,Necromancer,1,8,8a,4d,1h,2f,7,NF,ICON_UNIT_NECROMANCER,SPRITE_NECROMANCER,SOUND_SELECT1_NECROMANCER,SOUND_MOVE_NECROMANCER,SOUND_ATTACK_NECROMANCER
