ADVANCE_ALCHEMY					"Alchemy"
ADVANCE_CREATURES_LVL_2				"Creatures Lvl. 2"
ADVANCE_CREATURES_LVL_4				"Creatures Lvl. 4"
ADVANCE_BUILDINGS_LVL_1				"Buildings Lvl. 1"
ADVANCE_ECONOMY_LVL_3				"Economy Lvl. 3"
ADVANCE_BUILDINGS_LVL_3				"Buildings Lvl. 3"
ADVANCE_KNIGHT					"KNIGHT"
ADVANCE_HAPPINESS_LVL_1				"Happiness Lvl. 1"
ADVANCE_KNOWLEDGE_LVL_7				"Knowledge Lvl. 7"
ADVANCE_ZZ_CHIVALRY				"zz Chivalry"
ADVANCE_LEADERSHIP_LVL_1			"Leadership Lvl. 1"
ADVANCE_ZZ_COMBINED_ARMS			"zz Combined Arms"
ADVANCE_ZZ_COMBUSTION				"zz Combustion"
ADVANCE_LEADERSHIP_LVL_6			"Leadership Lvl. 6"
ADVANCE_BUILDINGS_LVL_2				"Buildings Lvl. 2"
ADVANCE_ECONOMY_LVL_7				"Economy Lvl. 7"
ADVANCE_ECONOMY_LVL_1				"Economy Lvl. 1"
ADVANCE_LEADERSHIP_LVL_5			"Leadership Lvl. 5"
ADVANCE_ECONOMY_LVL_4				"Economy Lvl. 4"
ADVANCE_ZZ_ELECTRICITY				"zz Electricity"
ADVANCE_WARLOCK					"WARLOCK"
ADVANCE_SORCERER				"SORCERER"
ADVANCE_ZZ_ENVIRONMENTALISM			"zz Environmentalism"
ADVANCE_ZZ_ESPIONAGE				"zz Espionage"
ADVANCE_ZZ_EXPLOSIVES				"zz Explosives"
ADVANCE_ZZ_FEUDALISM				"zz Feudalism"
ADVANCE_ZZ_FLIGHT				"zz Flight"
ADVANCE_LEADERSHIP_LVL_7			"Leadership Lvl. 7"
ADVANCE_WIZARD					"WIZARD"
ADVANCE_LEADERSHIP_LVL_4			"Leadership Lvl. 4"
ADVANCE_ZZ_GUNPOWDER				"zz Gunpowder"
ADVANCE_MILITARY_LVL_2				"Military Lvl. 2"
ADVANCE_NECROMANCER				"NECROMANCER"
ADVANCE_KNOWLEDGE_LVL_3				"Knowledge Lvl. 3"
ADVANCE_ZZ_IRON_WORKING				"zz Iron Working"
ADVANCE_HAPPINESS_LVL_7				"Happiness Lvl. 7"
ADVANCE_BARBARIAN				"BARBARIAN"
ADVANCE_ZZ_LEADERSHIP				"zz Leadership"
ADVANCE_KNOWLEDGE_LVL_4				"Knowledge Lvl. 4"
ADVANCE_BUILDINGS_LVL_7				"Buildings Lvl. 7"
ADVANCE_ZZ_MAGNETISM				"zz Magnetism"
ADVANCE_SEAFARING_LVL_2				"Seafaring Lvl. 2"
ADVANCE_HAPPINESS_LVL_5				"Happiness Lvl. 5"
ADVANCE_BUILDINGS_LVL_6				"Buildings Lvl. 6"
ADVANCE_ZZ_MATHEMATICS				"zz Mathematics"
ADVANCE_HAPPINESS_LVL_6				"Happiness Lvl. 6"
ADVANCE_MILITARY_LVL_6				"Military Lvl. 6"
ADVANCE_BUILDINGS_LVL_5				"Buildings Lvl. 5"
ADVANCE_ZZ_MOBILE_WARFARE			"zz Mobile Warfare"
ADVANCE_LEADERSHIP_LVL_2			"Leadership Lvl. 2"
ADVANCE_ZZ_MONOTHEISM				"zz Monotheism"
ADVANCE_HAPPINESS_LVL_2				"Happiness Lvl. 2"
ADVANCE_SEAFARING_LVL_3				"Seafaring Lvl. 3"
ADVANCE_CREATURES_LVL_7				"Creatures Lvl. 7"
ADVANCE_SEAFARING_LVL_4				"Seafaring Lvl. 4"
ADVANCE_KNOWLEDGE_LVL_6				"Knowledge Lvl. 6"
ADVANCE_ZZ_PLASTICS				"zz Plastics"
ADVANCE_CREATURES_LVL_3				"Creatures Lvl. 3"
ADVANCE_ZZ_POLYTHEISM				"zz Polytheism"
ADVANCE_ECONOMY_LVL_5				"Economy Lvl. 5"
ADVANCE_MILITARY_LVL_4				"Military Lvl. 4"
ADVANCE_SEAFARING_LVL_7				"Seafaring Lvl. 7"
ADVANCE_SEAFARING_LVL_5				"Seafaring Lvl. 5"
ADVANCE_SEAFARING_LVL_6				"Seafaring Lvl. 6"
ADVANCE_LEADERSHIP_LVL_3			"Leadership Lvl. 3"
ADVANCE_ECONOMY_LVL_6				"Economy Lvl. 6"
ADVANCE_MILITARY_LVL_7				"Military Lvl. 7"
ADVANCE_BUILDINGS_LVL_4				"Buildings Lvl. 4"
ADVANCE_SEAFARING_LVL_1				"Seafaring Lvl. 1"
ADVANCE_NEUTRAL					"NEUTRAL"
ADVANCE_CREATURES_LVL_5				"Creatures Lvl. 5"
ADVANCE_ZZ_SUPERCONDUCTOR			"zz Superconductor"
ADVANCE_ZZ_TACTICS				"zz Tactics"
ADVANCE_HAPPINESS_LVL_3				"Happiness Lvl. 3"
ADVANCE_CREATURES_LVL_1				"Creatures Lvl. 1"
ADVANCE_ECONOMY_LVL_2				"Economy Lvl. 2"
ADVANCE_KNOWLEDGE_LVL_5				"Knowledge Lvl. 5"
ADVANCE_MILITARY_LVL_1				"Military Lvl. 1"
ADVANCE_MILITARY_LVL_3				"Military Lvl. 3"
ADVANCE_KNOWLEDGE_LVL_2				"Knowledge Lvl. 2"
ADVANCE_FUTURE_RESEARCH				"Future Research"
ADVANCE_MILITARY_LVL_5				"Military Lvl. 5"
ADVANCE_HAPPINESS_LVL_4				"Happiness Lvl. 4"
ADVANCE_NON_WIZARD				"Non-Wizard"
ADVANCE_NON_SORCERESS				"Non-Sorceress"
ADVANCE_NON_BARBARIAN				"Non-Barbarian"
ADVANCE_NON_NECROMANCER				"Non-Necromancer"
ADVANCE_NON_KNIGHT				"Non-Knight"
ADVANCE_NON_WARLOCK				"Non-Warlock"
ADVANCE_NON_NEUTRAL				"Non-Neutral"
ADVANCE_THORS_ELOQUENCE				"Thor's Eloquence"
ADVANCE_SEA_RAIDS				"Sea Raids"
ADVANCE_WITCHCRAFT				"Witchcraft"
ADVANCE_GAEAS_GIFT				"Gaea's Gift"
ADVANCE_KINGS_LAW				"King's Law"
ADVANCE_FEAT_OF_ARMS				"Feat of Arms"
ADVANCE_GAEAS_POWER				"Gaea's Power"
ADVANCE_SUMMON_DRAKE				"Summon Drake"
ADVANCE_PERPETUAL_MACHINE			"Perpetual Machine"
ADVANCE_CALL_TO_ARMS				"Call to Arms"
ADVANCE_THE_GUILD				"The Guild"
ADVANCE_BARTER					"Barter"
ADVANCE_INSTITUTION_OF_ALTHING			"Institution of Althing"
ADVANCE_TRANSMUTATION				"Transmutation"
ADVANCE_DIVINING_ROD				"Divining Rod"
ADVANCE_TAPPING_THE_NODE			"Tapping the Node"
ADVANCE_SIEGECRAFT				"Siegecraft"
ADVANCE_ESPIONAGE				"Espionage"
ADVANCE_ARCANE_LEARNING				"Arcane Learning"
ADVANCE_FEALTY					"Fealty"
ADVANCE_ARCANE_LEVITATION			"Arcane Levitation"
ADVANCE_DWARVEN_ALLIANCE			"Dwarven Alliance"
ADVANCE_SPELL_MASTERY				"Spell Mastery"
ADVANCE_MILLWORK				"Millwork"
ADVANCE_GENERAL_UPRISINGS			"General Uprisings"
ADVANCE_SPELL_OF_ANIMATION			"Spell of Animation"
ADVANCE_HORSEBACK_RIDING			"Horseback Riding"
ADVANCE_EVANESCANT_CRAFT			"Evanescant Craft"
ADVANCE_TRANSMOGRIFICATION			"Transmogrification"
ADVANCE_ARTISANSHIP				"Artisanship"
ADVANCE_MOONBEAM_LENS				"Moonbeam Lens"
ADVANCE_SWINE_ARRAY				"Swine Array"
ADVANCE_MAGICAL_INSCRIPTION			"Magical Inscription"
ADVANCE_WEAPONCRAFT				"Weaponcraft"
ADVANCE_ASTROCOMPASS				"Astrocompass"
ADVANCE_SPELL_OF_CREATION			"Spell of Creation"
ADVANCE_SPELL_OF_PURIFICATION			"Spell of Purification"
ADVANCE_ALLIEGANCE_TO_THE_SEA			"Alliegance to the Sea"
ADVANCE_GIANT_WARFARE				"Giant Warfare"
ADVANCE_PRIESTHOOD				"Priesthood"
ADVANCE_WAR_SPELLS				"War Spells"
ADVANCE_MAGICAL_POWER				"Magical Power"
ADVANCE_NATURAL_PHILOSOPHY			"Natural Philosophy"
ADVANCE_METAPHYSICS				"Metaphysics"
ADVANCE_FAIRY_FABRIC				"Fairy Fabric"
ADVANCE_PLUMBING				"Plumbing"
ADVANCE_POLYTHEISM				"Polytheism"
ADVANCE_WARP_SPELL				"Warp Spell"
ADVANCE_TUNNELLING				"Tunnelling"
ADVANCE_SOWING_AND_REAPING			"Sowing and Reaping"
ADVANCE_ELEMENTAL_ENERGY			"Elemental Energy"
ADVANCE_FASHIONING_YGGDRASIL_WOOD		"Fashioning Yggdrasil Wood"
ADVANCE_CLOCKWORKS				"Clockworks"
ADVANCE_FIREBALL_INCANTATION			"Fireball Incantation"
ADVANCE_TRANSLUSCENCE_SPELL			"Transluscence Spell"
ADVANCE_METALLURGY				"Metallurgy"
ADVANCE_PLATE_STEEL				"Plate Steel"
ADVANCE_ROD_OF_SHIVERS				"Rod of Shivers"
ADVANCE_I_VIKING				"I Viking"
ADVANCE_THEURGY					"Theurgy"
ADVANCE_SECRET_OF_DIVINATION			"Secret of Divination"
ADVANCE_THAUMATURGICAL_STUDY			"Thaumaturgical Study"
ADVANCE_THE_WHEEL				"The Wheel"
ADVANCE_HANGING_FROM_YGGDRASIL			"Hanging from Yggdrasil"
ADVANCE_BEAST_DOMINION				"Beast Dominion"
ADVANCE_OMNISCIENCE				"Omniscience"
ADVANCE_DRAGON_LORE				"Dragon Lore"
ADVANCE_FOREST_LORE				"Forest Lore"
ADVANCE_MOUNTAIN_LORE				"Mountain Lore"
ADVANCE_SPIRIT_LORE				"Spirit Lore"
ADVANCE_EARTH_LORE				"Earth Lore"
ADVANCE_WARCRAFT				"Warcraft"
ADVANCE_SOCIAL_LORE				"Social Lore"
ADVANCE_ADVANCED_FLIGHT				"Advanced Flight"
ADVANCE_AMPHIBIOUS_WARFARE			"Amphibious Warfare"
ADVANCE_SPECIAL_TECHNOLOGY			"Special Technology"
ADVANCE_ATOMIC_THEORY				"Atomic Theory"
ADVANCE_COMBINED_ARMS				"Combined Arms"
ADVANCE_COMBUSTION				"Combustion"
ADVANCE_THE_CORPORATION				"The Corporation"
ADVANCE_ENGINEERING				"Engineering"
ADVANCE_ENVIRONMENTALISM			"Environmentalism"
ADVANCE_FLIGHT					"Flight"
ADVANCE_GUERRILLA_WARFARE			"Guerrilla Warfare"
ADVANCE_INDUSTRIALIZATION			"Industrialization"
ADVANCE_INVENTION				"Invention"
ADVANCE_LABOR_UNION				"Labor Union"
ADVANCE_MACHINE_TOOLS				"Machine Tools"
ADVANCE_MAGNETISM				"Magnetism"
ADVANCE_MINIATURIZATION				"Miniaturization"
ADVANCE_MOBILE_WARFARE				"Mobile Warfare"
ADVANCE_MONOTHEISM				"Monotheism"
ADVANCE_RADIO					"Radio"
ADVANCE_RECYCLING				"Recycling"
ADVANCE_REFINING				"Refining"
ADVANCE_ROCKETRY				"Rocketry"
ADVANCE_STEAM_ENGINE				"Steam Engine"
ADVANCE_STEEL					"Steel"
ADVANCE_SUPERCONDUCTOR				"Superconductor"
ADVANCE_THE_HOLY_LANCE				"The Holy Lance"
ADVANCE_THE_TRUE_CROSS				"The True Cross"
ADVANCE_USER_DEF_TECH_C				"User Def Tech C"
ADVANCE_AGE_OF_DISCOVERY			"Age of Discovery"
ADVANCE_AGE_OF_REASON				"Age of Reason"
ADVANCE_AGRICULTURAL_REVOLUTION			"Agricultural Revolution"
ADVANCE_AGRICULTURE				"Agriculture"
ADVANCE_APPLIED_MATH				"Applied Math"
ADVANCE_AQUEDUCTS				"Aqueducts"
ADVANCE_ARCHERY					"Archery"
ADVANCE_ARCHITECTURE				"Architecture"
ADVANCE_ASTROLABE				"Astrolabe"
ADVANCE_ASTRONOMY				"Astronomy"
ADVANCE_BALLISTA_TOWERS				"Ballista Towers"
ADVANCE_BALLISTICS				"Ballistics"
ADVANCE_BARRACKS				"Barracks"
ADVANCE_BIOLOGICAL_WARFARE			"Biological Warfare"
ADVANCE_BRICK_MAKING				"Brick Making"
ADVANCE_BUDDHISM				"Buddhism"
ADVANCE_BUREAUCRACY				"Bureaucracy"
ADVANCE_CALIPHATE				"Caliphate"
ADVANCE_CAVALRY_TACTICS				"Cavalry Tactics"
ADVANCE_CHARIOTS				"Chariots"
ADVANCE_CHEMISTRY				"Chemistry"
ADVANCE_CHRISTIANITY				"Christianity"
ADVANCE_CHRONOMETER				"Chronometer"
ADVANCE_CITY_STATE				"City State"
ADVANCE_CIVIC_ENGINEERING			"Civic Engineering"
ADVANCE_CLASSICAL_EDUCATION			"Classical Education"
ADVANCE_COASTAL_FORTS				"Coastal Forts"
ADVANCE_COMPASS					"Compass"
ADVANCE_COMPOSITE_BOW				"Composite Bow"
ADVANCE_CONCRETE				"Concrete"
ADVANCE_CONFUCIANISM				"Confucianism"
ADVANCE_COPPER_SMELTING				"Copper Smelting"
ADVANCE_COSMOLOGY				"Cosmology"
ADVANCE_CROSSBOW				"Crossbow"
ADVANCE_DARK_AGES				"Dark Ages"
ADVANCE_DICTATORSHIP				"Dictatorship"
ADVANCE_DOMESTICATION				"Domestication"
ADVANCE_DRAMA					"Drama"
ADVANCE_DYNASTY					"Dynasty"
ADVANCE_ECO_RELIGION				"Eco-Religion"
ADVANCE_ETHICS					"Ethics"
ADVANCE_EXPLORATION				"Exploration"
ADVANCE_FISHING					"Fishing"
ADVANCE_FLINTLOCK				"Flintlock"
ADVANCE_GEOMETRY				"Geometry"
ADVANCE_GOTHIC_ARCHITECTURE			"Gothic Architecture"
ADVANCE_GRANARIES				"Granaries"
ADVANCE_GREEK_FIRE				"Greek Fire"
ADVANCE_GUNPOWDER				"Gunpowder"
ADVANCE_HERBALISM				"Herbalism"
ADVANCE_HIPPOCRATIC_SCHOOL			"Hippocratic School"
ADVANCE_HORSE_RIDING				"Horse Riding"
ADVANCE_HULLMAKING				"Hullmaking"
ADVANCE_INTERNET				"Internet"
ADVANCE_ISLAM					"Islam"
ADVANCE_JUDAISM					"Judaism"
ADVANCE_JURISPRUDENCE				"Jurisprudence"
ADVANCE_LATIFUNDIA				"Latifundia"
ADVANCE_LEGAL_SYSTEM				"Legal System"
ADVANCE_FLUID_BREATHING				"Fluid Breathing"
ADVANCE_MATHEMATICAL_MODELING			"Mathematical Modeling"
ADVANCE_MECHANICAL_CLOCK			"Mechanical Clock"
ADVANCE_MODERN_MEDICINE				"Modern Medicine"
ADVANCE_MEGALITHS				"Megaliths"
ADVANCE_MILLS					"Mills"
ADVANCE_MINING					"Mining"
ADVANCE_MOBILE_TACTICS				"Mobile Tactics"
ADVANCE_NAVAL_TACTICS				"Naval Tactics"
ADVANCE_OARED_GALLEYS				"Oared Galleys"
ADVANCE_OCEAN_FARING				"Ocean Faring"
ADVANCE_OLIGARCHY				"Oligarchy"
ADVANCE_OPTICS					"Optics"
ADVANCE_OUTRIGGER				"Outrigger"
ADVANCE_PERSPECTIVE				"Perspective"
ADVANCE_POLAR_TERRAFORMING			"Polar Terraforming"
ADVANCE_PRINTING_PRESS				"Printing Press"
ADVANCE_PROJECTILE_WEAPONS			"Projectile Weapons"
ADVANCE_QUANTUM_PHYSICS				"Quantum Physics"
ADVANCE_RADIO_NAVIGATION			"Radio Navigation"
ADVANCE_RELIGION				"Religion"
ADVANCE_RENAISSANCE				"Renaissance"
ADVANCE_REPUBLIC				"Republic"
ADVANCE_SAILS					"Sails"
ADVANCE_SHIPBUILDING				"Shipbuilding"
ADVANCE_SIEGE_WEAPONS				"Siege Weapons"
ADVANCE_SLAVE_LABOR				"Slave Labor"
ADVANCE_STIRRUP					"Stirrup"
ADVANCE_STONE_WORKING				"Stone Working"
ADVANCE_RATIONAL_THOUGHT			"Rational Thought"
ADVANCE_TOOLMAKING				"Toolmaking"
ADVANCE_TRADE_GUILDS				"Trade Guilds"
ADVANCE_TRIBUNAL_EMPIRE				"Tribunal Empire"
ADVANCE_ULTRAPRESSURE_MACHINES			"Ultrapressure Machines"
ADVANCE_UNDERSEA_CONSTRUCTION			"Undersea Construction"
ADVANCE_VERNACULAR_PROSE			"Vernacular Prose"
ADVANCE_WATER_LIFTS				"Water Lifts"
ADVANCE_WHEEL					"Wheel"
ADVANCE_HOUSE_OF_SARGON				"House of Sargon"
ADVANCE_HOUSE_OF_ALEXANDER			"House of Alexander"
ADVANCE_HOUSE_OF_HANNIBAL			"House of Hannibal"
ADVANCE_HOUSE_OF_JULIUS_CAESAR			"House of Julius Caesar"
ADVANCE_HEXTAPUL				"Hextapul"
ADVANCE_SUBNEURAL_AD				"Subneural Ad"
ADVANCE_ANIMAL_HUSBANDRY			"Animal Husbandry"
ADVANCE_ARISTOCRACY				"Aristocracy"
ADVANCE_BLACK_SMITH				"Black Smith"
ADVANCE_BLITZKRIEG				"Blitzkrieg"
ADVANCE_CHAIN_MAIL				"Chain Mail"
ADVANCE_CITIZENSHIP				"Citizenship"
ADVANCE_DIAGONAL_BRACE				"Diagonal Brace"
ADVANCE_DYNASTIC_EMPIRE				"Dynastic Empire"
ADVANCE_FIBRE_OPTICS				"Fibre Optics"
ADVANCE_IRON_CASTING				"Iron Casting"
ADVANCE_JOINERY					"Joinery"
ADVANCE_LIBERALISM				"Liberalism"
ADVANCE_LOOM					"Loom"
ADVANCE_METAL_WORKING				"Metal Working"
ADVANCE_MIGRATION				"Migration"
ADVANCE_MILITARY_TRADITION			"Military Tradition"
ADVANCE_PAPER					"Paper"
ADVANCE_PLATE_ARMOUR				"Plate Armour"
ADVANCE_PLOUGH					"Plough"
ADVANCE_PYTHAGORAS_THEORUM			"Pythagoras Theorum"
ADVANCE_QUANTUM_COMPUTING			"Quantum Computing"
ADVANCE_REFRIGERATION				"Refrigeration"
ADVANCE_REPLACEABLE_PARTS			"Replaceable Parts"
ADVANCE_SEAMANSHIP				"Seamanship"
ADVANCE_STEAM_POWER				"Steam Power"
ADVANCE_SULTANATE				"Sultanate"
ADVANCE_THEOCRACY				"Theocracy"
ADVANCE_THEOCRATIC_MONARCHY			"Theocratic Monarchy"
ADVANCE_TRIBES					"Tribes"
ADVANCE_WOOD_WORKING				"Wood Working"
ADVANCE_YEOMANRY				"Yeomanry"
ADVANCE_THEOCRACYA				"Theocracya"
ADVANCE_THEOCMONARCHY				"Theocmonarchy"
ADVANCE_CALIPHATEA				"Caliphatea"
ADVANCE_CONSTMONARCHY				"Constmonarchy"
ADVANCE_DYNEMPIRE				"Dynempire"
ADVANCE_VASSAL_STATE				"Vassal State"
ADVANCE_ROYAL_WEDDING				"Royal Wedding"
ADVANCE_EXEDOUS					"Exedous"
ADVANCE_TRUE_BELIEF				"True Belief"
ADVANCE_OLD_TESTAMENT				"Old Testament"
ADVANCE_DWARVES					"Dwarves"
ADVANCE_ELVES					"Elves"
ADVANCE_HOBBITS					"Hobbits"
ADVANCE_MEN					"Men"
ADVANCE_ORCS					"Orcs"
ADVANCE_GOOD					"Good"
ADVANCE_EVIL					"Evil"
ADVANCE_ANGMAR					"Angmar"
ADVANCE_ARNOR					"Arnor"
ADVANCE_EASTERLING				"Easterling"
ADVANCE_GONDOR					"Gondor"
ADVANCE_HARADRIM				"Haradrim"
ADVANCE_ISENGARD				"Isengard"
ADVANCE_MORDOR					"Mordor"
ADVANCE_NORTHMEN				"Northmen"
ADVANCE_ROHAN					"Rohan"
ADVANCE_SINDAR					"Sindar"
ADVANCE_ALCHEMY_HARADRIM			"Alchemy Haradrim"
ADVANCE_APPLIED_MATH_ISENGARD			"Applied Math Isengard"
ADVANCE_AQUEDUCTS_MEN				"Aqueducts Men"
ADVANCE_ARCHERY_ELVES				"Archery Elves"
ADVANCE_ARCHERY_HARADRIM			"Archery Haradrim"
ADVANCE_ARCHERY_ISENGARD			"Archery Isengard"
ADVANCE_ARCHERY_ORCS				"Archery Orcs"
ADVANCE_ARCHITECTURE_DWARVES			"Architecture Dwarves"
ADVANCE_ARCHITECTURE_GONDOR			"Architecture Gondor"
ADVANCE_ARCHITECTURE_MORDOR			"Architecture Mordor"
ADVANCE_ASTRONOMY_ISENGARD			"Astronomy Isengard"
ADVANCE_BARRACKS_ANGMAR				"Barracks Angmar"
ADVANCE_BARRACKS_ORCS				"Barracks Orcs"
ADVANCE_BRONZE_WORKING_ANGMAR			"Bronze Working Angmar"
ADVANCE_BRONZE_WORKING_ARNOR			"Bronze Working Arnor"
ADVANCE_BRONZE_WORKING_DWARVES			"Bronze Working Dwarves"
ADVANCE_BRONZE_WORKING_EASTERLING		"Bronze Working Easterling"
ADVANCE_BRONZE_WORKING_HARADRIM			"Bronze Working Haradrim"
ADVANCE_BRONZE_WORKING_ORCS			"Bronze Working Orcs"
ADVANCE_BUREAUCRACY_EASTERLING			"Bureaucracy Easterling"
ADVANCE_BUREAUCRACY_MEN				"Bureaucracy Men"
ADVANCE_CHARIOTS_EASTERLING			"Chariots Easterling"
ADVANCE_CHARIOTS_HARADRIM			"Chariots Haradrim"
ADVANCE_CHARIOTS_ROHAN				"Chariots Rohan"
ADVANCE_CITY_STATE_ARNOR			"City State Arnor"
ADVANCE_CITY_STATE_DWARVES			"City State Dwarves"
ADVANCE_CITY_STATE_EASTERLING			"City State Easterling"
ADVANCE_CITY_STATE_GONDOR			"City State Gondor"
ADVANCE_CITY_STATE_HARADRIM			"City State Haradrim"
ADVANCE_CITY_STATE_ISENGARD			"City State Isengard"
ADVANCE_CIVIC_ENGINEERING_HOBBITS		"Civic Engineering Hobbits"
ADVANCE_CIVIC_ENGINEERING_MORDOR		"Civic Engineering Mordor"
ADVANCE_COMPOSITE_BOW_ELVES			"Composite Bow Elves"
ADVANCE_COMPOSITE_BOW_ORCS			"Composite Bow Orcs"
ADVANCE_CONCRETE_EVIL				"Concrete Evil"
ADVANCE_CONCRETE_GOOD				"Concrete Good"
ADVANCE_COPPER_SMELTING_ANGMAR			"Copper Smelting Angmar"
ADVANCE_COPPER_SMELTING_DWARVES			"Copper Smelting Dwarves"
ADVANCE_COPPER_SMELTING_EASTERLING		"Copper Smelting Easterling"
ADVANCE_COPPER_SMELTING_EVIL			"Copper Smelting Evil"
ADVANCE_COPPER_SMELTING_MORDOR			"Copper Smelting Mordor"
ADVANCE_COPPER_SMELTING_SINDAR			"Copper Smelting Sindar"
ADVANCE_COSMOLOGY_ARNOR				"Cosmology Arnor"
ADVANCE_COSMOLOGY_HARADRIM			"Cosmology Haradrim"
ADVANCE_COSMOLOGY_SINDAR			"Cosmology Sindar"
ADVANCE_COUNCIL_I				"Council I"
ADVANCE_COUNCIL_II				"Council Ii"
ADVANCE_COUNCIL_III				"Council Iii"
ADVANCE_COUNCIL_IV				"Council Iv"
ADVANCE_COUNCIL_V				"Council V"
ADVANCE_COUNCIL_V_HOBBITS			"Council V Hobbits"
ADVANCE_COUNCIL_V_SINDAR			"Council V Sindar"
ADVANCE_CURRENCY_ANGMAR				"Currency Angmar"
ADVANCE_CURRENCY_DWARVES			"Currency Dwarves"
ADVANCE_DICTATORSHIP_ARNOR			"Dictatorship Arnor"
ADVANCE_DICTATORSHIP_DWARVES			"Dictatorship Dwarves"
ADVANCE_DICTATORSHIP_EASTERLING			"Dictatorship Easterling"
