cell_index,name,cost,upkeep,prereq,icon
34,Forge,6,1,ADVANCE_COPPER_SMELTING,ICON_IMPROVE_FORGE
35,Forum,13,4,ADVANCE_ETHICS,ICON_IMPROVE_FORUM
36,Fusion Plant,125,20,ADVANCE_FUSION,ICON_IMPROVE_FUSION_PLANT
37,Arch,20,15,ADVANCE_CONCRETE,ICON_IMPROVE_GAIA_COMPUTER
38,Granary,6,2,ADVANCE_GRANARIES,ICON_IMPROVE_GRANARY
39,Hospital,30,10,ADVANCE_MEDICINE,ICON_IMPROVE_HOSPITAL
40,Incubation Center,70,16,ADVANCE_HUMAN_CLONING,ICON_IMPROVE_INCUBATION_CENTER
41,Marketplace,14,0,ADVANCE_BUREAUCRACY,ICON_IMPROVE_MARKETPLACE
42,Matter Decompiler,60,21,ADVANCE_NANO_ASSEMBLY,ICON_IMPROVE_MATTER_DECOMPILER
43,Micro Defense,100,24,ADVANCE_NANO_WARFARE,ICON_IMPROVE_MICRO_DEFENSE
44,Mill,30,8,ADVANCE_MILLS,ICON_IMPROVE_MILL
45,Monastery,20,4,ADVANCE_CHRISTIANITY,ICON_IMPROVE_MONASTERY
46,Mosque,18,4,ADVANCE_ISLAM,ICON_IMPROVE_MOSQUE
47,Movie Palace,30,6,ADVANCE_ELECTRICITY,ICON_IMPROVE_MOVIE_PALACE
48,Nuclear Plant,54,15,ADVANCE_NUCLEAR_POWER,ICON_IMPROVE_NUCLEAR_PLANT
49,Oil Refinery,45,12,ADVANCE_OIL_REFINING,ICON_IMPROVE_OIL_REFINERY
50,Physician,14,5,ADVANCE_HIPPOCRATIC_SCHOOL,ICON_IMPROVE_PHYSICIAN
51,Magistrates,30,0,ADVANCE_BUREAUCRACY,ICON_IMPROVE_POWER_SATELLITE
52,Public Transportation,36,8,ADVANCE_MASS_TRANSIT,ICON_IMPROVE_PUBLIC_TRANSPORTATION
53,Publishing House,21,5,ADVANCE_PRINTING_PRESS,ICON_IMPROVE_PUBLISHING_HOUSE
54,Recycling Plant,45,10,ADVANCE_CONSERVATION,ICON_IMPROVE_RECYCLING_PLANT
55,Robotic Plant,70,18,ADVANCE_ROBOTICS,ICON_IMPROVE_ROBOTIC_PLANT
56,Security Monitor,60,15,ADVANCE_AI_SURVEILLANCE,ICON_IMPROVE_SECURITY_MONITOR
57,Shrine,4,1,ADVANCE_RELIGION,ICON_IMPROVE_SHRINE
58,Television,38,30,ADVANCE_MASS_MEDIA,ICON_IMPROVE_TELEVISION
59,Theater,7,3,ADVANCE_DRAMA,ICON_IMPROVE_THEATER
60,University,22,7,ADVANCE_CLASSICAL_EDUCATION,ICON_IMPROVE_UNIVERSITY
61,Wall,7,2,ADVANCE_BRICK_MAKING,ICON_IMPROVE_WALL
62,Work Camp,11,5,ADVANCE_ARCHITECTURE,ICON_IMPROVE_WORK_CAMP
63,Ziggurat,5,1,ADVANCE_ASTRONOMY,ICON_IMPROVE_ZIGGURAT
64,Religious Victory,200,24,ADVANCE_THEOLOGY,ICON_IMPROVE_RELIGIOUS_VICTORY
65,Orbital Laboratory,48,14,ADVANCE_HEXTAPUL,ICON_IMPROVE_ORBITAL_LABORATORY
66,VR Amusement Park,48,15,ADVANCE_HEXTAPUL,ICON_IMPROVE_VR_AMUSEMENT_PARK
67,E-Bank,58,18,ADVANCE_HEXTAPUL,ICON_IMPROVE_E_BANK
68,Nanite Factory,105,24,ADVANCE_HEXTAPUL,ICON_IMPROVE_NANITE_FACTORY
69,Cornucopic Vat,48,20,ADVANCE_HEXTAPUL,ICON_IMPROVE_CORNUCOPIC_VAT
70,Aqua-Filter,100,18,ADVANCE_HEXTAPUL,ICON_IMPROVE_AQUA_FILTER
