cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
14,Mech. Inf.,0,3,6a,6d,3h,1f,5,no,ICON_UNIT_MECH_INF,SPRITE_MECH_INF,SOUND_SELECT1_MECH_INF,SOUND_MOVE_MECH_INF,SOUND_ATTACK_MECH_INF
15,Mamluks,0,3,4a,2d,2h,1f,4,Ast,ICON_UNIT_MAMLUKS,SPRITE_MAMLUKS,SOUND_SELECT1_MAMLUKS,SOUND_MOVE_MAMLUKS,SOUND_ATTACK_MAMLUKS
16,Heavy Cavalry,0,3,3a,2d,2h,1f,4,Whe,ICON_UNIT_HEAVY_CAVALRY,SPRITE_HEAVY_CAVALRY,SOUND_SELECT1_HEAVY_CAVALRY,SOUND_MOVE_HEAVY_CAVALRY,SOUND_ATTACK_HEAVY_CAVALRY
17,Varang. Guard,0,3,4a,3d,2h,1f,5,Che,ICON_UNIT_VARANG_GUARD,SPRITE_VARANG_GUARD,SOUND_SELECT1_VARANG_GUARD,SOUND_MOVE_VARANG_GUARD,SOUND_ATTACK_VARANG_GUARD
18,Crusaders,0,3,5a,1d,2h,2f,5,Chi,ICON_UNIT_CRUSADERS,SPRITE_CRUSADERS,SOUND_SELECT1_CRUSADERS,SOUND_MOVE_CRUSADERS,SOUND_ATTACK_CRUSADERS
19,Knights,0,3,4a,2d,2h,2f,4,Chi,ICON_UNIT_KNIGHTS,SPRITE_KNIGHTS,SOUND_SELECT1_KNIGHTS,SOUND_MOVE_KNIGHTS,SOUND_ATTACK_KNIGHTS
20,Ascaris,0,3,4a,2d,2h,2f,4,Fun,ICON_UNIT_ASCARIS,SPRITE_ASCARIS,SOUND_SELECT1_ASCARIS,SOUND_MOVE_ASCARIS,SOUND_ATTACK_ASCARIS
21,Turcopoles,0,3,3a,2d,1h,2f,3,Bro,ICON_UNIT_TURCOPOLES,SPRITE_TURCOPOLES,SOUND_SELECT1_TURCOPOLES,SOUND_MOVE_TURCOPOLES,SOUND_ATTACK_TURCOPOLES
22,Armor,0,3,10a,5d,3h,1f,8,no,ICON_UNIT_ARMOR,SPRITE_ARMOR,SOUND_SELECT1_ARMOR,SOUND_MOVE_ARMOR,SOUND_ATTACK_ARMOR
23,Siege Engine,0,2,9a,1d,2h,2f,4,Eng,ICON_UNIT_SIEGE_ENGINE,SPRITE_SIEGE_ENGINE,SOUND_SELECT1_SIEGE_ENGINE,SOUND_MOVE_SIEGE_ENGINE,SOUND_ATTACK_SIEGE_ENGINE
24,Cannon,0,1,8a,1d,2h,1f,4,no,ICON_UNIT_CANNON,SPRITE_CANNON,SOUND_SELECT1_CANNON,SOUND_MOVE_CANNON,SOUND_ATTACK_CANNON
25,Artillery,0,1,10a,1d,2h,2f,5,no,ICON_UNIT_ARTILLERY,SPRITE_ARTILLERY,SOUND_SELECT1_ARTILLERY,SOUND_MOVE_ARTILLERY,SOUND_ATTACK_ARTILLERY
26,Howitzer,0,2,12a,2d,3h,2f,7,no,ICON_UNIT_HOWITZER,SPRITE_HOWITZER,SOUND_SELECT1_HOWITZER,SOUND_MOVE_HOWITZER,SOUND_ATTACK_HOWITZER
27,Fighter,1,10,4a,3d,2h,2f,6,no,ICON_UNIT_FIGHTER,SPRITE_FIGHTER,SOUND_SELECT1_FIGHTER,SOUND_MOVE_FIGHTER,SOUND_ATTACK_FIGHTER
28,Bomber,1,8,12a,1d,2h,2f,12,no,ICON_UNIT_BOMBER,SPRITE_BOMBER,SOUND_SELECT1_BOMBER,SOUND_MOVE_BOMBER,SOUND_ATTACK_BOMBER
29,Helicopter,1,6,10a,3d,2h,2f,10,no,ICON_UNIT_HELICOPTER,SPRITE_HELICOPTER,SOUND_SELECT1_HELICOPTER,SOUND_MOVE_HELICOPTER,SOUND_ATTACK_HELICOPTER
30,Stlth Ftr.,1,14,8a,4d,2h,2f,8,no,ICON_UNIT_STLTH_FTR,SPRITE_STLTH_FTR,SOUND_SELECT1_STLTH_FTR,SOUND_MOVE_STLTH_FTR,SOUND_ATTACK_STLTH_FTR
31,Stlth Bmbr.,1,12,14a,5d,2h,2f,16,no,ICON_UNIT_STLTH_BMBR,SPRITE_STLTH_BMBR,SOUND_SELECT1_STLTH_BMBR,SOUND_MOVE_STLTH_BMBR,SOUND_ATTACK_STLTH_BMBR
32,Trireme,2,8,1a,1d,1h,1f,4,Map,ICON_UNIT_TRIREME,SPRITE_TRIREME,SOUND_SELECT1_TRIREME,SOUND_MOVE_TRIREME,SOUND_ATTACK_TRIREME
33,Caravel,2,7,2a,1d,1h,1f,4,Nav,ICON_UNIT_CARAVEL,SPRITE_CARAVEL,SOUND_SELECT1_CARAVEL,SOUND_MOVE_CARAVEL,SOUND_ATTACK_CARAVEL
34,Galleon,2,4,0a,2d,2h,1f,4,no,ICON_UNIT_GALLEON,SPRITE_GALLEON,SOUND_SELECT1_GALLEON,SOUND_MOVE_GALLEON,SOUND_ATTACK_GALLEON
35,Frigate,2,4,4a,2d,2h,1f,5,no,ICON_UNIT_FRIGATE,SPRITE_FRIGATE,SOUND_SELECT1_FRIGATE,SOUND_MOVE_FRIGATE,SOUND_ATTACK_FRIGATE
36,Ironclad,2,4,4a,4d,3h,1f,6,no,ICON_UNIT_IRONCLAD,SPRITE_IRONCLAD,SOUND_SELECT1_IRONCLAD,SOUND_MOVE_IRONCLAD,SOUND_ATTACK_IRONCLAD
37,Destroyer,2,6,4a,4d,3h,1f,6,no,ICON_UNIT_DESTROYER,SPRITE_DESTROYER,SOUND_SELECT1_DESTROYER,SOUND_MOVE_DESTROYER,SOUND_ATTACK_DESTROYER
38,Cruiser,2,5,6a,6d,3h,2f,8,no,ICON_UNIT_CRUISER,SPRITE_CRUISER,SOUND_SELECT1_CRUISER,SOUND_MOVE_CRUISER,SOUND_ATTACK_CRUISER
39,AEGIS Cruiser,2,5,8a,8d,3h,2f,10,no,ICON_UNIT_AEGIS_CRUISER,SPRITE_AEGIS_CRUISER,SOUND_SELECT1_AEGIS_CRUISER,SOUND_MOVE_AEGIS_CRUISER,SOUND_ATTACK_AEGIS_CRUISER
40,Battleship,2,4,12a,12d,4h,2f,16,no,ICON_UNIT_BATTLESHIP,SPRITE_BATTLESHIP,SOUND_SELECT1_BATTLESHIP,SOUND_MOVE_BATTLESHIP,SOUND_ATTACK_BATTLESHIP
41,Submarine,2,3,10a,2d,3h,2f,6,no,ICON_UNIT_SUBMARINE,SPRITE_SUBMARINE,SOUND_SELECT1_SUBMARINE,SOUND_MOVE_SUBMARINE,SOUND_ATTACK_SUBMARINE
42,Carrier,2,5,1a,9d,4h,2f,16,no,ICON_UNIT_CARRIER,SPRITE_CARRIER,SOUND_SELECT1_CARRIER,SOUND_MOVE_CARRIER,SOUND_ATTACK_CARRIER
43,Transport,2,5,0a,3d,3h,1f,5,no,ICON_UNIT_TRANSPORT,SPRITE_TRANSPORT,SOUND_SELECT1_TRANSPORT,SOUND_MOVE_TRANSPORT,SOUND_ATTACK_TRANSPORT
44,Cruise Msl.,1,12,18a,0d,1h,3f,6,no,ICON_UNIT_CRUISE_MSL,SPRITE_CRUISE_MSL,SOUND_SELECT1_CRUISE_MSL,SOUND_MOVE_CRUISE_MSL,SOUND_ATTACK_CRUISE_MSL
45,Nuclear Msl.,1,16,99a,0d,1h,1f,16,no,ICON_UNIT_NUCLEAR_MSL,SPRITE_NUCLEAR_MSL,SOUND_SELECT1_NUCLEAR_MSL,SOUND_MOVE_NUCLEAR_MSL,SOUND_ATTACK_NUCLEAR_MSL
46,Envoy,0,3,0a,0d,1h,1f,3,Wri,ICON_UNIT_ENVOY,SPRITE_ENVOY,SOUND_SELECT1_ENVOY,SOUND_MOVE_ENVOY,SOUND_ATTACK_ENVOY
47,Spy,0,3,0a,0d,1h,1f,3,no,ICON_UNIT_SPY,SPRITE_SPY,SOUND_SELECT1_SPY,SOUND_MOVE_SPY,SOUND_ATTACK_SPY
48,Caravan,0,2,0a,1d,1h,1f,5,Tra,ICON_UNIT_CARAVAN,SPRITE_CARAVAN,SOUND_SELECT1_CARAVAN,SOUND_MOVE_CARAVAN,SOUND_ATTACK_CARAVAN
49,Freight,0,2,0a,1d,1h,1f,5,no,ICON_UNIT_FREIGHT,SPRITE_FREIGHT,SOUND_SELECT1_FREIGHT,SOUND_MOVE_FREIGHT,SOUND_ATTACK_FREIGHT
50,Explorer,0,1,0a,1d,1h,1f,3,no,ICON_UNIT_EXPLORER,SPRITE_EXPLORER,SOUND_SELECT1_EXPLORER,SOUND_MOVE_EXPLORER,SOUND_ATTACK_EXPLORER
51,Assassin,0,3,5a,0d,1h,5f,5,Mys,ICON_UNIT_ASSASSIN,SPRITE_ASSASSIN,SOUND_SELECT1_ASSASSIN,SOUND_MOVE_ASSASSIN,SOUND_ATTACK_ASSASSIN
52,Knights Templar,0,3,5a,2d,2h,2f,5,U1,ICON_UNIT_KNIGHTS_TEMPLAR,SPRITE_KNIGHTS_TEMPLAR,SOUND_SELECT1_KNIGHTS_TEMPLAR,SOUND_MOVE_KNIGHTS_TEMPLAR,SOUND_ATTACK_KNIGHTS_TEMPLAR
53,Knights Hosp.,0,3,4a,3d,2h,2f,5,U2,ICON_UNIT_KNIGHTS_HOSP,SPRITE_KNIGHTS_HOSP,SOUND_SELECT1_KNIGHTS_HOSP,SOUND_MOVE_KNIGHTS_HOSP,SOUND_ATTACK_KNIGHTS_HOSP
